id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,45,14,0,0,24
100200-1,59,61,75,57,47
100200-2,101,85,74,96,68
100300-1,164,161,189,133,155
100300-2,71,53,37,26,16
100300-3,70,57,101,83,66
100400-1,85,113,145,116,118
100400-2,213,186,118,101,40
100500-1,26,15,9,34,40
100500-2,100,81,115,89,63
100500-3,114,79,95,16,15
100601-1,55,51,63,57,45
100602-1,41,64,100,84,88
100602-2,47,31,28,14,19
100700-1,41,46,25,6,6
100700-2,70,81,44,39,32
100800-1,200,218,218,186,193
100800-2,46,58,38,24,24
100900-1,112,115,45,34,7
100900-2,140,160,104,15,26
101001-1,109,76,56,74,13
101001-2,168,103,61,29,34
101002-1,108,96,90,56,23
101002-2,106,148,100,84,31
101101-1,96,106,58,113,88
101102-1,44,60,65,25,24
101102-2,91,90,29,27,45
101102-3,166,158,130,48,36
101102-4,90,75,60,36,57
101103-1,143,122,145,133,124
101201-1,188,215,236,189,143
101202-1,46,43,61,22,35
101202-2,112,104,79,95,80
101303-1,14,13,15,14,17
101303-2,70,63,123,143,125
101303-3,207,196,182,290,235
101304-1,95,135,124,109,105
101304-2,69,71,75,112,70
101304-3,86,55,110,89,110
101305-1,222,224,196,241,149
101306-1,60,82,88,53,114
101306-2,143,92,75,58,55
101306-3,158,181,211,215,192
101307-1,84,69,74,108,105
101400-1,0,0,0,0,0
101400-2,23,30,33,15,8
101400-3,128,130,117,194,206
101500-1,47,64,60,24,32
101500-2,122,108,91,110,93
101500-3,28,15,17,50,50
101500-4,74,102,129,129,131
101600-1,74,66,68,48,75
101600-2,69,171,268,266,315
101600-3,140,105,146,0,22
101700-1,92,77,95,19,19
101700-2,50,44,49,29,43
101700-3,23,55,67,57,52
101700-4,41,44,73,80,97
101700-5,27,31,44,31,31
101802-1,149,158,179,176,170
101802-2,28,12,11,0,0
101802-3,14,28,42,29,31
101802-4,11,26,70,89,93
101803-1,298,295,214,68,88
101803-2,38,22,0,0,38
101804-1,79,77,87,111,64
101804-2,10,8,28,43,43
101902-1,125,135,132,101,66
101903-1,116,132,85,87,68
101903-2,54,32,37,0,52
101903-3,93,88,83,74,18
101904-1,56,94,57,31,41
102001-1,92,86,43,104,93
102001-2,69,66,127,82,116
102002-1,98,64,65,62,37
102002-2,70,23,69,0,0
102002-3,132,113,139,156,115
102003-1,287,276,276,158,118
102004-1,276,249,157,179,109
102005-1,223,219,205,177,164
102005-2,0,0,0,0,0
102005-3,41,41,26,22,61
102005-4,20,104,83,73,80
102006-1,208,149,305,289,316
980100-1,0,0,0,0,0
