id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,1,1,1,1,1,1
100200,1,1,1,1,1,1
100300,1,1,1,1,1,1
100400,1,1,1,1,1,1
100500,1,1,1,1,1,1
100601,1,1,1,1,1,1
100602,1,1,1,1,1,1
100700,1,1,1,1,1,1
100800,1,1,1,1,1,1
100900,1,1,1,1,1,1
101001,1,1,1,1,1,1
101002,1,1,1,1,1,1
101101,1,1,1,1,1,1
101102,1,1,1,1,1,1
101103,1,1,1,1,1,1
101201,1,1,1,1,1,1
101202,1,1,1,1,1,1
101303,1,1,1,1,1,1
101304,1,1,1,1,1,1
101305,1,1,1,1,1,1
101306,1,1,1,1,1,1
101307,1,1,1,1,1,1
101400,1,1,1,1,1,1
101500,1,1,1,1,1,1
101600,1,1,1,1,1,1
101700,1,1,1,1,1,1
101802,1,1,1,1,1,1
101803,1,1,1,1,1,1
101804,1,1,1,1,1,1
101902,1,1,1,1,1,1
101903,1,1,1,1,1,1
101904,1,1,1,1,1,1
102001,1,1,1,1,1,1
102002,1,1,1,1,1,1
102003,1,1,1,1,1,1
102004,1,1,1,1,1,1
102005,1,1,1,1,1,1
102006,1,1,1,1,1,1
980100,1,1,1,1,1,1
