id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,0,4,4,3,4
100200-1,14,5,6,6,6
100200-2,25,20,21,7,11
100300-1,0,0,0,9,13
100300-2,39,35,40,13,10
100300-3,0,0,15,34,31
100400-1,0,0,4,31,45
100400-2,18,0,0,0,0
100500-1,42,33,0,12,9
100500-2,0,0,0,0,0
100500-3,0,0,0,0,0
100601-1,20,22,39,42,43
100602-1,18,24,12,11,9
100602-2,0,0,0,0,0
100700-1,16,12,16,15,15
100700-2,0,0,0,22,39
100800-1,58,49,55,81,15
100800-2,0,0,0,0,10
100900-1,15,13,0,0,0
100900-2,0,8,10,9,12
101001-1,31,5,5,0,0
101001-2,9,5,6,5,0
101002-1,24,10,11,32,44
101002-2,0,0,0,18,48
101101-1,49,52,52,40,87
101102-1,8,13,0,0,0
101102-2,0,0,0,16,14
101102-3,0,0,0,0,0
101102-4,68,61,55,52,43
101103-1,31,43,38,49,32
101201-1,0,0,0,0,21
101202-1,0,0,0,0,0
101202-2,0,21,27,36,38
101303-1,0,0,0,0,0
101303-2,0,0,0,0,39
101303-3,63,70,50,56,68
101304-1,0,0,0,22,23
101304-2,0,0,0,22,26
101304-3,14,7,8,9,0
101305-1,39,22,15,37,86
101306-1,7,8,8,8,0
101306-2,7,13,0,0,0
101306-3,0,0,35,34,38
101307-1,16,37,30,34,31
101400-1,44,63,6,5,13
101400-2,0,0,0,0,8
101400-3,25,8,8,19,26
101500-1,0,0,0,0,0
101500-2,16,13,20,22,43
101500-3,26,27,12,15,0
101500-4,58,55,36,37,26
101600-1,35,32,36,32,22
101600-2,49,19,12,12,9
101600-3,16,17,52,44,11
101700-1,22,16,17,16,17
101700-2,29,15,15,14,12
101700-3,0,0,0,64,62
101700-4,27,30,12,13,11
101700-5,0,0,0,0,0
101802-1,50,107,90,96,98
101802-2,18,48,48,47,61
101802-3,0,0,0,0,0
101802-4,0,0,37,42,54
101803-1,60,61,60,52,59
101803-2,0,0,0,0,0
101804-1,72,84,30,80,44
101804-2,66,57,44,35,24
101902-1,40,31,35,42,35
101903-1,0,22,39,50,44
101903-2,62,28,16,0,0
101903-3,13,9,13,14,0
101904-1,75,52,79,99,98
102001-1,0,16,17,7,12
102001-2,53,56,54,42,39
102002-1,10,0,0,0,0
102002-2,0,0,0,0,0
102002-3,105,121,134,139,206
102003-1,64,68,79,112,90
102004-1,0,27,38,52,67
102005-1,0,0,21,23,85
102005-2,23,20,13,20,0
102005-3,11,14,9,14,0
102005-4,25,18,17,13,40
102006-1,15,23,15,16,29
980100-1,11,13,16,15,13
