id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,17,21,27,42,31
100200-1,41,51,45,30,41
100200-2,35,30,39,57,53
100300-1,65,37,36,79,112
100300-2,17,6,21,64,63
100300-3,108,82,122,98,79
100400-1,56,73,62,79,73
100400-2,44,11,14,27,28
100500-1,183,164,136,120,116
100500-2,149,46,42,50,17
100500-3,33,289,286,277,283
100601-1,178,146,168,165,167
100602-1,65,49,51,65,34
100602-2,89,112,117,126,140
100700-1,45,45,27,30,17
100700-2,9,25,46,58,53
100800-1,108,118,125,97,90
100800-2,11,0,0,0,0
100900-1,12,10,25,30,23
100900-2,0,0,24,20,25
101001-1,39,39,39,25,28
101001-2,17,14,63,61,63
101002-1,93,64,83,97,72
101002-2,110,89,86,62,69
101101-1,88,71,102,67,85
101102-1,61,61,67,57,76
101102-2,47,50,46,48,29
101102-3,63,87,81,61,32
101102-4,114,102,90,73,68
101103-1,47,79,124,144,128
101201-1,63,53,48,45,41
101202-1,34,40,26,35,40
101202-2,18,17,38,50,53
101303-1,44,67,76,88,88
101303-2,53,47,52,48,12
101303-3,253,313,266,225,311
101304-1,42,20,11,12,39
101304-2,7,5,19,12,29
101304-3,38,40,44,71,58
101305-1,111,155,179,150,169
101306-1,8,19,55,58,54
101306-2,157,214,284,216,161
101306-3,54,25,38,39,34
101307-1,11,69,92,110,120
101400-1,0,0,0,0,0
101400-2,22,26,22,25,44
101400-3,58,44,41,49,50
101500-1,42,26,31,33,60
101500-2,290,215,206,100,158
101500-3,45,22,12,15,0
101500-4,69,53,35,39,27
101600-1,90,63,38,40,83
101600-2,0,12,27,59,94
101600-3,101,76,81,85,107
101700-1,0,17,29,46,87
101700-2,102,100,85,123,146
101700-3,92,54,61,54,53
101700-4,78,67,129,167,169
101700-5,22,128,143,129,147
101802-1,368,506,532,565,565
101802-2,130,150,85,87,186
101802-3,57,96,44,67,108
101802-4,255,241,300,271,233
101803-1,587,632,598,524,500
101803-2,82,109,138,180,181
101804-1,272,313,257,326,302
101804-2,545,636,472,388,331
101902-1,262,267,253,235,220
101903-1,294,298,297,314,371
101903-2,193,150,299,351,434
101903-3,68,53,31,81,51
101904-1,293,285,297,371,393
102001-1,137,134,164,152,193
102001-2,71,117,99,131,145
102002-1,0,16,47,45,65
102002-2,18,22,45,46,42
102002-3,243,127,184,233,281
102003-1,259,246,337,332,278
102004-1,352,346,333,232,242
102005-1,243,274,310,313,372
102005-2,0,0,0,0,0
102005-3,44,23,84,82,86
102005-4,48,47,27,43,20
102006-1,360,316,336,332,391
980100-1,0,0,0,0,0
