id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,69,98,97,90,92
100200-1,18,21,31,16,18
100200-2,51,41,40,7,28
100300-1,35,92,128,74,63
100300-2,105,159,142,148,96
100300-3,76,27,15,42,17
100400-1,19,0,0,19,46
100400-2,48,74,69,93,103
100500-1,83,51,41,60,24
100500-2,37,60,89,84,36
100500-3,202,220,46,82,88
100601-1,30,79,82,92,123
100602-1,28,33,41,48,0
100602-2,98,94,94,76,85
100700-1,0,0,9,25,24
100700-2,0,2,6,40,65
100800-1,72,89,57,63,85
100800-2,40,28,36,23,18
100900-1,31,12,38,71,83
100900-2,51,65,69,46,63
101001-1,76,92,42,51,47
101001-2,106,106,166,190,162
101002-1,41,51,82,68,78
101002-2,30,29,44,67,80
101101-1,54,71,79,51,138
101102-1,0,0,0,21,8
101102-2,54,62,63,14,0
101102-3,116,121,85,28,101
101102-4,138,63,31,47,11
101103-1,71,38,31,48,59
101201-1,42,62,63,62,59
101202-1,39,36,35,45,63
101202-2,8,13,13,60,55
101303-1,86,84,100,119,17
101303-2,12,12,11,13,57
101303-3,70,95,28,97,133
101304-1,62,125,111,90,146
101304-2,93,89,71,75,45
101304-3,101,132,108,28,39
101305-1,93,100,122,127,101
101306-1,38,0,0,0,29
101306-2,116,167,163,190,154
101306-3,34,31,33,17,16
101307-1,14,35,70,90,98
101400-1,0,0,0,0,0
101400-2,16,11,9,9,30
101400-3,30,32,26,22,28
101500-1,16,0,17,38,35
101500-2,18,69,75,62,69
101500-3,98,97,102,129,86
101500-4,64,82,71,56,56
101600-1,19,60,73,74,54
101600-2,19,21,0,0,0
101600-3,64,96,127,156,60
101700-1,29,12,0,0,15
101700-2,97,140,139,160,132
101700-3,35,33,38,23,13
101700-4,62,72,22,15,27
101700-5,0,0,0,0,15
101802-1,120,88,143,124,94
101802-2,54,12,59,66,70
101802-3,60,43,27,31,12
101802-4,195,50,84,51,74
101803-1,224,187,166,257,252
101803-2,37,47,29,0,0
101804-1,12,14,0,12,44
101804-2,104,109,70,105,136
101902-1,34,34,48,43,16
101903-1,93,164,151,282,208
101903-2,185,215,238,152,104
101903-3,7,35,27,14,13
101904-1,52,73,84,88,51
102001-1,39,76,90,98,90
102001-2,74,76,63,162,214
102002-1,14,110,138,164,199
102002-2,51,70,63,94,85
102002-3,76,212,220,218,260
102003-1,177,255,199,119,138
102004-1,114,186,167,180,249
102005-1,142,152,98,75,81
102005-2,39,52,48,38,32
102005-3,45,23,0,0,21
102005-4,15,18,17,13,9
102006-1,109,212,232,251,328
980100-1,0,0,0,0,0
