id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,7,16,21,16,34
100200-1,22,17,19,28,29
100200-2,53,49,87,3,2
100300-1,0,0,0,0,0
100300-2,0,0,58,32,30
100300-3,62,75,29,29,27
100400-1,31,30,41,62,28
100400-2,46,76,45,31,0
100500-1,24,0,0,18,19
100500-2,0,0,20,13,12
100500-3,0,0,0,0,0
100601-1,0,13,10,12,19
100602-1,15,20,23,9,10
100602-2,0,0,0,0,0
100700-1,0,0,0,0,4
100700-2,3,4,4,6,0
100800-1,87,118,190,211,203
100800-2,26,22,31,13,11
100900-1,7,2,2,3,6
100900-2,0,0,0,0,0
101001-1,0,0,0,0,0
101001-2,0,0,0,0,0
101002-1,6,5,6,12,15
101002-2,0,0,0,0,0
101101-1,18,10,9,17,16
101102-1,0,0,0,0,0
101102-2,0,0,0,0,0
101102-3,0,0,0,0,17
101102-4,0,14,13,11,13
101103-1,44,18,14,6,6
101201-1,36,41,0,0,14
101202-1,0,0,0,0,0
101202-2,8,8,10,8,0
101303-1,0,0,0,0,0
101303-2,0,0,0,0,0
101303-3,24,27,17,13,0
101304-1,0,0,0,0,0
101304-2,30,30,25,11,12
101304-3,18,18,22,27,22
101305-1,0,0,0,14,10
101306-1,0,0,0,0,0
101306-2,122,116,144,118,22
101306-3,7,10,13,12,13
101307-1,23,7,10,0,0
101400-1,267,321,518,410,324
101400-2,28,29,9,9,10
101400-3,24,34,33,26,8
101500-1,18,14,14,15,0
101500-2,54,53,39,0,0
101500-3,0,0,0,0,0
101500-4,0,0,0,0,0
101600-1,0,0,0,0,0
101600-2,17,10,16,13,16
101600-3,0,0,0,0,0
101700-1,0,0,0,0,0
101700-2,0,0,12,12,13
101700-3,0,0,0,0,0
101700-4,16,15,16,16,0
101700-5,0,0,0,0,0
101802-1,26,0,13,14,15
101802-2,0,0,0,0,0
101802-3,0,0,0,0,0
101802-4,80,17,30,17,24
101803-1,41,40,51,48,20
101803-2,0,0,0,0,0
101804-1,12,0,0,0,0
101804-2,0,0,0,0,0
101902-1,0,0,0,0,8
101903-1,0,0,0,0,0
101903-2,10,15,0,0,0
101903-3,0,0,0,0,0
101904-1,14,11,8,9,5
102001-1,0,0,0,0,0
102001-2,0,0,0,0,0
102002-1,0,0,0,0,0
102002-2,0,0,0,0,0
102002-3,0,0,0,0,0
102003-1,0,0,0,0,0
102004-1,28,73,55,68,68
102005-1,24,32,36,29,28
102005-2,0,0,0,0,0
102005-3,0,0,0,0,0
102005-4,14,9,5,0,0
102006-1,14,11,10,52,56
980100-1,54,95,120,127,98
