id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,64,94,150,180,129
100200-1,134,136,147,134,127
100200-2,192,176,213,161,98
100300-1,258,233,252,277,322
100300-2,299,324,389,470,422
100300-3,364,402,344,420,393
100400-1,291,355,349,286,224
100400-2,231,238,227,280,207
100500-1,254,227,232,232,272
100500-2,123,155,164,137,131
100500-3,354,456,416,371,377
100601-1,508,496,480,514,514
100602-1,171,172,154,184,103
100602-2,454,397,396,394,402
100700-1,82,98,76,109,106
100700-2,99,143,129,133,155
100800-1,143,107,113,112,127
100800-2,109,73,84,61,54
100900-1,106,256,172,182,239
100900-2,104,120,162,276,317
101001-1,216,256,211,219,209
101001-2,668,710,668,556,480
101002-1,373,385,332,311,308
101002-2,393,391,374,320,295
101101-1,433,411,410,362,473
101102-1,83,88,134,89,86
101102-2,459,476,360,409,376
101102-3,499,485,551,493,467
101102-4,310,367,381,419,368
101103-1,613,622,567,585,559
101201-1,424,481,469,341,308
101202-1,292,269,249,314,317
101202-2,464,452,479,484,485
101303-1,457,530,625,576,542
101303-2,330,364,506,575,670
101303-3,1287,1525,1558,1349,1349
101304-1,749,721,672,539,576
101304-2,149,172,225,345,398
101304-3,398,378,358,241,198
101305-1,695,742,794,913,1043
101306-1,256,304,341,291,332
101306-2,502,511,557,597,526
101306-3,302,241,418,413,385
101307-1,434,408,455,480,454
101400-1,65,38,83,64,52
101400-2,327,290,279,245,255
101400-3,845,938,1022,1070,1114
101500-1,245,247,308,304,318
101500-2,984,878,866,680,687
101500-3,277,309,337,509,479
101500-4,539,509,383,426,400
101600-1,527,513,538,589,656
101600-2,237,288,222,275,326
101600-3,423,448,452,440,382
101700-1,358,307,330,308,362
101700-2,448,399,459,585,605
101700-3,412,297,297,360,351
101700-4,474,485,449,415,385
101700-5,398,578,557,463,489
101802-1,955,1008,946,953,943
101802-2,432,348,413,475,522
101802-3,318,319,317,332,404
101802-4,776,667,719,631,613
101803-1,1490,1431,1336,1290,1379
101803-2,242,244,231,330,303
101804-1,760,795,651,852,920
101804-2,943,1042,993,966,851
101902-1,772,733,723,704,631
101903-1,871,834,870,929,1064
101903-2,621,641,712,800,744
101903-3,415,342,339,220,220
101904-1,646,654,768,920,994
102001-1,837,861,778,599,625
102001-2,425,454,487,687,652
102002-1,310,356,382,419,420
102002-2,271,310,380,522,547
102002-3,799,845,1002,1060,1189
102003-1,1109,1150,1204,1251,1367
102004-1,1157,1161,1244,1313,1384
102005-1,532,616,666,572,866
102005-2,23,20,13,49,21
102005-3,104,154,115,130,131
102005-4,157,324,250,230,270
102006-1,1324,1423,1597,1792,2024
980100-1,4,11,18,19,10
