id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,414,532,343,359,373
100200-1,162,170,75,47,47
100200-2,338,328,300,210,176
100300-1,512,473,449,364,498
100300-2,546,482,340,790,661
100300-3,579,669,723,701,488
100400-1,465,466,596,537,525
100400-2,445,444,377,360,371
100500-1,225,161,175,189,266
100500-2,415,351,385,308,137
100500-3,525,874,791,667,767
100601-1,467,422,443,451,439
100602-1,197,149,195,279,201
100602-2,403,404,440,423,377
100700-1,69,102,107,122,102
100700-2,305,172,81,180,214
100800-1,1552,1371,1347,1219,1161
100800-2,65,129,124,104,117
100900-1,95,153,143,135,135
100900-2,266,274,218,301,354
101001-1,153,142,128,253,362
101001-2,972,1063,996,935,802
101002-1,639,534,496,442,439
101002-2,424,360,409,365,483
101101-1,794,762,834,841,791
101102-1,102,137,314,408,406
101102-2,815,741,628,703,512
101102-3,723,577,538,612,582
101102-4,668,524,501,525,398
101103-1,745,815,855,873,832
101201-1,688,638,655,651,638
101202-1,379,270,198,236,296
101202-2,402,394,515,522,460
101303-1,225,450,477,472,589
101303-2,516,433,654,784,736
101303-3,1841,2370,2285,2282,2710
101304-1,526,745,782,892,885
101304-2,848,773,782,587,666
101304-3,350,288,287,322,205
101305-1,1237,1499,1359,2006,2192
101306-1,346,268,292,231,330
101306-2,714,646,629,803,839
101306-3,689,757,864,727,639
101307-1,774,749,816,755,611
101400-1,43,38,110,111,59
101400-2,547,492,495,420,415
101400-3,1591,1929,2017,1913,2057
101500-1,269,304,320,188,235
101500-2,873,688,649,626,588
101500-3,304,365,333,432,409
101500-4,435,422,318,413,456
101600-1,881,884,915,881,968
101600-2,252,273,283,364,441
101600-3,307,311,403,348,354
101700-1,375,344,284,203,270
101700-2,347,382,561,592,495
101700-3,343,261,217,288,262
101700-4,330,308,151,126,203
101700-5,266,364,449,335,361
101802-1,1161,1250,1172,1005,1008
101802-2,274,238,268,359,450
101802-3,369,493,403,398,305
101802-4,649,479,605,657,583
101803-1,1711,1980,2121,1740,1308
101803-2,359,369,294,441,483
101804-1,761,724,706,805,978
101804-2,1253,1187,1057,1071,933
101902-1,856,753,798,767,719
101903-1,1420,1345,1134,1544,1391
101903-2,843,716,745,840,849
101903-3,400,284,432,320,342
101904-1,831,796,1125,1308,1411
102001-1,812,846,810,824,792
102001-2,363,505,526,762,845
102002-1,640,744,691,502,386
102002-2,614,611,619,761,721
102002-3,1561,1428,1557,1458,1421
102003-1,1718,2011,2075,2242,2151
102004-1,1490,1559,1632,1995,2116
102005-1,964,870,1026,797,804
102005-2,45,39,28,44,146
102005-3,105,97,259,360,391
102005-4,382,476,350,282,379
102006-1,1968,2214,2450,2611,2721
980100-1,27,41,44,43,33
