id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,10,6,40,16,18
100200-1,28,25,28,26,21
100200-2,28,33,25,34,36
100300-1,77,78,36,37,39
100300-2,47,72,79,192,189
100300-3,38,39,25,57,91
100400-1,90,88,123,111,103
100400-2,31,33,36,35,40
100500-1,75,73,77,87,109
100500-2,34,44,57,47,43
100500-3,100,95,110,106,115
100601-1,46,45,40,50,47
100602-1,37,60,57,53,46
100602-2,36,56,65,60,64
100700-1,13,11,31,6,12
100700-2,27,40,24,24,25
100800-1,37,39,32,31,16
100800-2,39,36,27,15,10
100900-1,29,40,95,108,129
100900-2,12,35,40,43,52
101001-1,33,41,12,12,43
101001-2,112,86,85,92,100
101002-1,37,46,39,58,84
101002-2,52,21,26,32,27
101101-1,102,34,48,45,50
101102-1,45,21,33,30,26
101102-2,82,83,50,40,51
101102-3,63,88,81,46,91
101102-4,72,48,58,37,48
101103-1,59,59,55,60,59
101201-1,49,63,52,38,55
101202-1,43,34,34,99,95
101202-2,55,47,49,44,44
101303-1,17,18,89,83,111
101303-2,96,102,89,73,125
101303-3,103,129,133,125,114
101304-1,46,50,42,51,46
101304-2,12,17,20,21,22
101304-3,48,43,52,63,12
101305-1,84,94,99,52,82
101306-1,40,41,43,39,58
101306-2,16,17,24,148,135
101306-3,64,52,88,96,90
101307-1,62,61,52,46,62
101400-1,12,12,12,12,12
101400-2,12,12,11,12,40
101400-3,42,47,37,43,45
101500-1,83,89,75,32,31
101500-2,108,84,89,66,97
101500-3,81,84,46,43,50
101500-4,84,69,46,45,83
101600-1,112,100,120,128,156
101600-2,56,23,28,44,36
101600-3,77,73,39,56,42
101700-1,99,81,78,81,76
101700-2,108,94,94,97,175
101700-3,81,77,52,52,48
101700-4,44,50,40,48,41
101700-5,76,88,100,64,64
101802-1,110,149,155,183,145
101802-2,75,70,28,45,52
101802-3,47,38,29,43,46
101802-4,87,82,59,59,67
101803-1,116,91,82,62,57
101803-2,21,12,33,35,33
101804-1,64,68,73,60,117
101804-2,98,113,128,136,50
101902-1,57,49,35,30,44
101903-1,127,141,101,112,133
101903-2,68,85,88,102,109
101903-3,49,51,51,44,25
101904-1,37,43,39,31,32
102001-1,186,169,183,72,63
102001-2,61,61,111,116,97
102002-1,36,31,21,21,26
102002-2,71,48,56,55,58
102002-3,82,127,88,89,100
102003-1,124,115,104,82,104
102004-1,51,44,68,64,78
102005-1,26,12,98,96,113
102005-2,38,34,26,35,12
102005-3,12,12,12,40,35
102005-4,12,12,12,12,12
102006-1,79,130,126,126,124
980100-1,12,12,12,12,12
