id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,369,455,420,398,412
100200-1,319,390,342,258,258
100200-2,463,412,386,425,318
100300-1,587,619,631,577,585
100300-2,1046,1052,1100,1106,904
100300-3,756,729,560,555,553
100400-1,575,602,677,638,561
100400-2,466,397,347,410,481
100500-1,536,450,490,519,527
100500-2,590,508,540,472,287
100500-3,1055,1525,1307,1327,1398
100601-1,725,725,794,861,918
100602-1,437,400,367,492,362
100602-2,737,755,909,836,892
100700-1,211,239,231,245,231
100700-2,355,315,261,291,316
100800-1,451,439,362,335,388
100800-2,155,188,266,286,240
100900-1,481,456,415,502,557
100900-2,272,191,367,504,606
101001-1,443,451,357,408,481
101001-2,1159,1179,1183,1211,1165
101002-1,738,766,871,667,748
101002-2,678,668,745,826,839
101101-1,1108,1055,1131,1046,1053
101102-1,324,318,506,534,558
101102-2,961,915,803,837,700
101102-3,808,961,944,966,1147
101102-4,1029,724,701,800,657
101103-1,883,822,945,1001,1006
101201-1,854,873,846,827,794
101202-1,574,514,480,607,590
101202-2,946,836,877,1049,1098
101303-1,857,994,1003,953,887
101303-2,783,743,934,1060,1049
101303-3,2381,2725,2906,2542,2664
101304-1,1133,1250,1112,1009,1165
101304-2,444,477,543,609,731
101304-3,556,492,590,429,382
101305-1,1287,1152,1387,1605,1860
101306-1,460,576,624,549,562
101306-2,914,832,1007,1189,1119
101306-3,666,657,932,842,731
101307-1,934,979,1052,993,1064
101400-1,423,614,386,557,642
101400-2,335,279,279,301,324
101400-3,1306,1418,1423,1490,1605
101500-1,423,404,509,373,485
101500-2,1333,1242,1256,1243,1367
101500-3,514,611,570,816,711
101500-4,752,749,569,690,753
101600-1,985,1106,1046,1119,1382
101600-2,220,235,171,274,382
101600-3,678,764,740,675,676
101700-1,484,387,416,431,517
101700-2,946,991,1006,1123,1155
101700-3,540,359,322,356,337
101700-4,678,755,722,694,721
101700-5,616,833,794,692,727
101802-1,1599,1690,1756,1876,1942
101802-2,765,737,747,982,1129
101802-3,733,636,510,520,484
101802-4,1401,1231,1308,1360,1269
101803-1,2733,2498,2403,2118,2139
101803-2,439,457,458,590,592
101804-1,1402,1339,1294,1463,1709
101804-2,1932,1878,1835,1732,1576
101902-1,1346,1232,1196,1138,1004
101903-1,2093,2143,1889,2503,2683
101903-2,1528,1398,1745,1873,1809
101903-3,558,421,619,403,342
101904-1,1089,1073,1258,1459,1481
102001-1,1337,1346,1463,1307,1323
102001-2,844,953,1145,1640,1591
102002-1,748,767,831,784,772
102002-2,456,403,557,663,751
102002-3,1827,1817,2057,2035,2232
102003-1,2568,2853,2744,3003,3304
102004-1,2180,2035,2190,2382,2705
102005-1,1434,1467,1420,1280,1469
102005-2,61,71,61,58,87
102005-3,255,287,391,485,453
102005-4,374,431,371,311,393
102006-1,2544,2977,3005,3180,3630
980100-1,89,110,140,141,166
