id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,7,12,9,8,9
100200-1,28,24,26,15,17
100200-2,7,6,7,11,8
100300-1,65,44,51,20,64
100300-2,24,37,31,90,62
100300-3,18,24,22,0,0
100400-1,17,16,28,15,25
100400-2,31,9,8,0,45
100500-1,0,0,0,0,14
100500-2,0,0,0,0,0
100500-3,31,7,61,60,57
100601-1,5,0,1,1,6
100602-1,23,34,20,26,33
100602-2,96,42,44,33,50
100700-1,0,0,9,12,15
100700-2,12,22,17,9,7
100800-1,0,0,0,0,0
100800-2,9,32,29,22,12
100900-1,39,24,17,26,33
100900-2,0,0,0,68,88
101001-1,10,9,14,19,6
101001-2,28,33,59,83,71
101002-1,23,25,9,10,9
101002-2,41,44,47,20,8
101101-1,41,65,70,54,90
101102-1,0,0,0,0,0
101102-2,56,59,43,0,0
101102-3,11,48,66,68,96
101102-4,12,12,34,92,63
101103-1,39,35,49,47,47
101201-1,153,139,66,54,65
101202-1,0,11,10,17,17
101202-2,16,0,14,58,54
101303-1,59,46,82,89,58
101303-2,12,21,30,27,11
101303-3,109,145,172,171,115
101304-1,64,55,74,100,71
101304-2,0,0,0,0,0
101304-3,0,7,9,8,9
101305-1,9,27,27,72,72
101306-1,48,31,11,12,33
101306-2,48,58,35,15,7
101306-3,0,16,14,21,27
101307-1,28,14,25,19,18
101400-1,0,0,0,0,0
101400-2,0,0,0,0,0
101400-3,39,43,44,82,62
101500-1,36,18,16,13,14
101500-2,116,89,111,104,95
101500-3,14,46,28,42,33
101500-4,0,11,10,17,20
101600-1,13,11,0,16,19
101600-2,29,27,10,8,11
101600-3,0,0,0,0,0
101700-1,44,40,39,52,39
101700-2,38,11,19,11,12
101700-3,0,0,0,0,0
101700-4,139,135,97,43,59
101700-5,43,52,32,68,47
101802-1,12,14,0,0,0
101802-2,38,45,28,35,43
101802-3,64,28,18,17,0
101802-4,25,24,30,46,50
101803-1,32,13,0,0,0
101803-2,0,0,0,0,0
101804-1,44,57,44,12,9
101804-2,36,34,27,26,35
101902-1,28,23,20,13,15
101903-1,107,95,11,72,32
101903-2,49,47,49,77,86
101903-3,0,0,0,0,0
101904-1,18,4,9,20,19
102001-1,39,31,17,17,0
102001-2,34,38,38,26,52
102002-1,0,0,0,0,0
102002-2,0,0,0,0,19
102002-3,152,147,174,167,117
102003-1,215,102,115,203,214
102004-1,26,28,54,47,86
102005-1,0,0,0,39,77
102005-2,0,0,0,0,0
102005-3,0,0,0,0,0
102005-4,0,6,5,7,32
102006-1,30,61,131,112,131
980100-1,0,0,0,0,0
