id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,183,177,146,108,125
100200-1,33,56,62,91,79
100200-2,173,157,165,139,148
100300-1,113,78,78,22,15
100300-2,112,166,212,227,233
100300-3,100,131,87,104,78
100400-1,180,232,216,203,203
100400-2,77,45,75,145,165
100500-1,109,65,69,16,0
100500-2,46,91,98,95,52
100500-3,176,199,214,268,318
100601-1,92,113,100,61,81
100602-1,137,124,131,133,122
100602-2,35,84,57,76,95
100700-1,23,46,72,50,51
100700-2,60,51,83,107,86
100800-1,82,97,118,88,107
100800-2,20,32,47,81,111
100900-1,287,255,291,266,250
100900-2,178,217,260,292,221
101001-1,64,76,96,97,106
101001-2,202,277,249,250,227
101002-1,173,121,80,156,132
101002-2,0,72,76,68,58
101101-1,156,124,107,159,135
101102-1,0,0,0,0,0
101102-2,174,167,177,210,235
101102-3,188,180,115,118,130
101102-4,79,85,41,116,154
101103-1,59,50,64,67,100
101201-1,166,136,128,130,156
101202-1,88,112,84,103,98
101202-2,185,165,147,80,60
101303-1,122,75,42,44,84
101303-2,137,185,146,122,111
101303-3,183,197,214,208,194
101304-1,133,161,193,205,185
101304-2,50,81,74,138,123
101304-3,83,49,20,25,0
101305-1,67,90,70,132,174
101306-1,91,84,48,25,28
101306-2,0,31,36,59,58
101306-3,105,102,75,141,146
101307-1,141,119,103,115,127
101400-1,0,0,0,0,0
101400-2,32,36,40,80,119
101400-3,66,110,92,99,77
101500-1,58,97,87,130,114
101500-2,181,212,161,172,207
101500-3,0,0,85,85,82
101500-4,0,107,181,175,181
101600-1,175,125,159,97,56
101600-2,0,0,0,0,0
101600-3,66,96,97,112,17
101700-1,13,13,53,40,54
101700-2,148,114,113,114,68
101700-3,0,0,0,0,32
101700-4,45,61,74,51,73
101700-5,110,66,24,42,86
101802-1,0,42,41,92,91
101802-2,53,91,91,45,63
101802-3,58,80,68,80,87
101802-4,44,38,69,33,33
101803-1,203,246,297,311,269
101803-2,28,0,0,35,37
101804-1,0,0,56,57,49
101804-2,51,83,63,65,55
101902-1,30,52,54,46,83
101903-1,325,313,328,247,217
101903-2,117,156,125,129,99
101903-3,0,44,43,50,50
101904-1,41,62,88,95,65
102001-1,0,92,165,187,257
102001-2,21,85,65,119,116
102002-1,123,155,235,286,251
102002-2,189,157,159,0,0
102002-3,212,257,197,187,196
102003-1,88,94,72,94,98
102004-1,84,128,145,209,210
102005-1,153,164,281,366,275
102005-2,0,0,0,0,0
102005-3,154,111,48,61,23
102005-4,24,0,0,0,0
102006-1,347,238,224,350,265
980100-1,0,0,0,0,0
