id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,0,0,0,5,7
100200-1,0,0,0,0,0
100200-2,0,0,0,0,0
100300-1,0,0,0,0,11
100300-2,12,13,0,0,13
100300-3,33,27,15,9,0
100400-1,0,0,0,0,0
100400-2,0,0,0,0,0
100500-1,0,0,11,13,16
100500-2,0,0,0,0,0
100500-3,0,0,0,0,0
100601-1,46,51,40,45,38
100602-1,0,0,0,0,0
100602-2,0,0,0,8,7
100700-1,17,23,6,5,10
100700-2,0,0,0,5,8
100800-1,0,0,0,2,3
100800-2,0,0,0,0,0
100900-1,0,0,0,0,0
100900-2,0,0,24,20,25
101001-1,11,11,0,0,0
101001-2,0,0,0,5,11
101002-1,7,19,48,10,18
101002-2,0,0,0,0,0
101101-1,0,0,0,0,0
101102-1,0,0,0,0,0
101102-2,0,21,16,14,14
101102-3,0,0,0,0,0
101102-4,0,0,0,0,0
101103-1,6,5,5,10,15
101201-1,0,0,0,0,0
101202-1,5,8,12,8,8
101202-2,44,41,30,26,0
101303-1,0,0,0,0,0
101303-2,0,0,0,0,0
101303-3,84,101,103,0,24
101304-1,0,0,0,0,0
101304-2,0,0,0,0,0
101304-3,13,0,0,0,0
101305-1,0,0,7,6,20
101306-1,0,0,0,0,0
101306-2,6,9,25,20,11
101306-3,0,0,0,0,7
101307-1,0,0,0,0,0
101400-1,0,0,0,0,0
101400-2,5,0,0,0,0
101400-3,0,0,0,0,8
101500-1,0,0,0,0,0
101500-2,15,12,12,11,14
101500-3,16,0,0,0,11
101500-4,17,16,13,0,0
101600-1,0,0,0,47,37
101600-2,0,0,0,0,9
101600-3,0,0,0,9,9
101700-1,0,12,15,18,26
101700-2,0,0,0,13,11
101700-3,11,11,10,8,0
101700-4,0,0,0,0,0
101700-5,0,25,21,25,21
101802-1,54,97,118,101,117
101802-2,0,13,11,25,10
101802-3,28,31,17,15,37
101802-4,36,27,57,63,73
101803-1,23,105,86,128,164
101803-2,0,0,0,0,11
101804-1,110,116,96,58,21
101804-2,147,172,143,76,76
101902-1,35,37,55,52,72
101903-1,22,46,0,0,0
101903-2,30,33,24,60,103
101903-3,13,9,13,40,33
101904-1,11,30,56,84,75
102001-1,0,0,0,0,0
102001-2,0,0,0,0,12
102002-1,0,0,0,0,0
102002-2,0,0,0,0,0
102002-3,36,12,35,0,13
102003-1,9,9,12,11,0
102004-1,0,38,44,36,40
102005-1,0,12,11,16,42
102005-2,0,0,0,0,0
102005-3,0,0,0,0,0
102005-4,0,0,0,0,0
102006-1,9,0,15,14,44
980100-1,0,0,0,0,0
