id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,1006,1173,1274,1233,1232,1203
100200,1842,1776,1805,1902,1606,1464
100300,5021,5567,5727,5436,5890,5398
100400,2479,3236,3406,3402,3390,3239
100500,4880,4598,5233,5215,4956,4813
100601,2278,2278,2125,2212,2301,2201
100602,2948,2855,2648,2789,2755,2565
100700,1231,1266,1345,1072,1272,1299
100800,2878,2721,2884,2910,2680,2548
100900,2827,2240,2290,2007,1992,2270
101001,4826,4552,4393,4229,4290,4087
101002,3251,3476,3418,3490,3137,3315
101101,2679,2461,2489,2668,2674,2796
101102,7890,8019,7762,7901,8015,7502
101103,2441,2753,2638,2793,2813,2643
101201,2311,2297,2373,2429,2136,2197
101202,3872,3374,3331,3435,3968,4034
101303,6101,8397,9816,10597,10737,11220
101304,4649,5523,5550,5877,5606,5346
101305,2924,3533,3757,3718,4627,5058
101306,4456,5035,5105,5977,5703,5555
101307,2240,2632,2587,2777,2641,2394
101400,5651,6370,6601,6627,6396,6587
101500,7504,7534,7468,6997,7084,7103
101600,5185,5386,5574,5647,5925,6527
101700,7472,7939,7862,7963,7922,8124
101802,9960,9903,9658,9875,10224,10234
101803,6464,7277,7386,7141,6988,6701
101804,5618,6796,6651,6655,6920,7023
101902,2372,2926,2778,2853,2719,2540
101903,7526,8726,8272,8456,9053,9413
101904,1740,2637,2612,3178,3528,3831
102001,4233,4637,5072,5039,5580,5623
102002,6004,7477,7673,8111,8593,8649
102003,4732,5291,5834,6016,6294,6702
102004,4290,4746,4872,5053,5490,5804
102005,4256,4492,5221,4970,4738,5461
102006,5566,5581,6301,7047,7551,8374
980100,0,160,224,283,283,277
