id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,25,38,27,53,68
100200-1,10,20,25,20,25
100200-2,34,54,49,53,44
100300-1,83,91,30,14,0
100300-2,167,222,205,118,107
100300-3,73,114,113,99,84
100400-1,117,123,119,71,56
100400-2,121,84,71,65,71
100500-1,63,63,59,46,30
100500-2,49,30,36,34,38
100500-3,230,192,143,132,102
100601-1,70,67,57,35,53
100602-1,78,50,63,73,43
100602-2,19,56,77,84,60
100700-1,6,12,12,26,28
100700-2,38,41,20,35,19
100800-1,152,91,126,159,122
100800-2,30,57,71,100,94
100900-1,124,114,76,46,32
100900-2,54,20,63,75,68
101001-1,62,50,47,69,58
101001-2,153,162,128,111,155
101002-1,119,104,80,84,66
101002-2,76,60,51,68,80
101101-1,309,267,244,155,179
101102-1,0,0,30,55,94
101102-2,103,88,122,166,166
101102-3,97,109,32,63,96
101102-4,189,154,174,171,179
101103-1,111,138,141,143,138
101201-1,185,159,167,82,107
101202-1,65,48,59,52,96
101202-2,95,120,131,161,208
101303-1,76,150,116,145,141
101303-2,114,100,118,112,115
101303-3,247,304,375,276,222
101304-1,33,75,77,53,92
101304-2,73,63,49,107,124
101304-3,73,52,68,0,0
101305-1,49,32,60,117,143
101306-1,24,24,12,12,11
101306-2,114,98,141,182,123
101306-3,103,80,146,110,62
101307-1,139,167,152,132,114
101400-1,0,0,0,0,0
101400-2,17,16,16,0,22
101400-3,107,155,153,196,253
101500-1,57,73,63,27,30
101500-2,78,103,110,120,100
101500-3,36,39,22,29,32
101500-4,64,73,56,55,28
101600-1,104,111,93,29,13
101600-2,44,44,33,22,26
101600-3,51,51,53,69,57
101700-1,23,56,44,40,83
101700-2,16,16,18,43,75
101700-3,35,0,0,0,0
101700-4,56,63,54,26,39
101700-5,54,38,13,41,40
101802-1,126,151,143,110,75
101802-2,68,68,77,36,62
101802-3,84,99,93,51,36
101802-4,132,161,159,151,202
101803-1,122,86,69,89,109
101803-2,0,0,20,35,60
101804-1,184,165,158,165,141
101804-2,103,17,14,18,44
101902-1,121,92,91,60,54
101903-1,261,243,233,302,218
101903-2,61,49,39,46,57
101903-3,43,44,114,86,83
101904-1,81,79,100,89,54
102001-1,107,108,142,120,115
102001-2,65,77,84,64,88
102002-1,87,148,117,60,46
102002-2,69,43,68,22,70
102002-3,95,117,156,107,111
102003-1,195,252,185,203,276
102004-1,190,250,300,310,338
102005-1,80,145,188,168,202
102005-2,0,0,0,0,55
102005-3,16,32,94,112,105
102005-4,39,61,69,65,79
102006-1,159,237,246,206,234
980100-1,0,0,0,0,0
