id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,41.5,29.6,32.4,27.1,26.0
100200-1,24.1,22.6,29.1,32.7,35.9
100200-2,39.9,36.6,41.2,28.6,31.4
100300-1,25.7,26.6,26.6,24.7,28.3
100300-2,21.3,22.5,21.7,26.0,29.5
100300-3,32.0,33.9,43.8,34.8,46.5
100400-1,28.5,28.5,28.7,27.5,25.3
100400-2,25.9,44.8,46.0,41.1,38.0
100500-1,37.4,37.3,28.8,28.8,36.5
100500-2,26.7,35.5,33.7,34.2,29.6
100500-3,32.7,31.0,27.8,27.6,25.7
100601-1,31.9,32.3,31.7,31.8,25.4
100602-1,29.1,24.8,27.7,27.1,29.8
100602-2,27.4,32.5,26.1,30.2,23.9
100700-1,22.4,27.1,37.2,28.7,29.0
100700-2,22.6,19.8,21.4,26.0,31.5
100800-1,50.0,34.6,34.8,34.7,35.2
100800-2,27.2,50.0,31.9,38.8,38.8
100900-1,31.0,40.1,43.3,37.2,33.0
100900-2,45.0,38.3,34.5,30.2,30.3
101001-1,38.3,18.8,25.5,31.5,24.9
101001-2,27.4,28.1,28.6,29.0,28.3
101002-1,29.7,40.4,33.3,40.0,37.2
101002-2,30.4,18.2,33.7,17.5,30.7
101101-1,35.4,34.0,26.8,28.3,30.2
101102-1,10.0,10.0,16.6,22.3,19.6
101102-2,41.8,43.1,45.1,46.8,50.0
101102-3,31.5,27.4,28.8,29.7,31.3
101102-4,32.7,31.6,24.6,34.2,25.6
101103-1,33.5,32.1,28.6,29.4,28.8
101201-1,26.7,26.4,24.1,29.4,29.9
101202-1,26.1,36.2,27.6,23.9,24.2
101202-2,32.6,30.5,31.6,32.0,27.1
101303-1,28.0,29.3,27.5,28.4,33.2
101303-2,23.5,27.2,28.3,26.8,27.0
101303-3,27.1,20.4,27.4,29.4,28.7
101304-1,31.3,31.3,34.4,33.6,33.9
101304-2,28.2,27.1,27.5,32.8,33.7
101304-3,22.7,21.8,22.7,22.6,22.0
101305-1,32.7,31.6,32.1,32.2,35.8
101306-1,31.7,28.4,29.3,30.9,31.6
101306-2,31.7,32.0,24.4,33.3,31.3
101306-3,50.0,47.7,46.3,45.2,43.9
101307-1,32.5,32.1,32.7,32.1,31.5
101400-1,0,0,0,0,0
101400-2,26.5,25.1,27.7,31.2,30.1
101400-3,28.8,29.8,28.8,30.7,30.0
101500-1,0,50.0,41.7,28.9,29.2
101500-2,19.8,26.8,16.6,22.5,18.6
101500-3,29.4,29.3,30.6,30.0,27.1
101500-4,26.0,26.6,27.1,23.6,20.4
101600-1,50.0,50.0,50.0,29.9,28.5
101600-2,32.6,32.3,36.7,33.1,32.0
101600-3,33.9,19.1,19.5,22.7,11.9
101700-1,20.0,28.7,27.0,23.7,35.8
101700-2,11.9,14.5,16.8,18.4,19.3
101700-3,29.1,29.4,0,0,0
101700-4,0,0,35.0,0,0
101700-5,0,19.8,17.5,22.4,22.4
101802-1,17.7,18.3,18.3,19.4,20.4
101802-2,0,0,22.8,0,0
101802-3,50.0,50.0,50.0,23.3,0
101802-4,26.3,26.4,13.8,20.0,14.4
101803-1,25.5,25.0,26.7,25.2,24.2
101803-2,13.9,13.8,0,19.5,17.8
101804-1,47.4,43.3,46.2,24.3,21.8
101804-2,0,0,14.7,25.1,13.0
101902-1,26.7,26.5,19.1,17.4,17.1
101903-1,24.3,25.4,24.6,21.0,21.6
101903-2,30.6,31.3,29.6,29.0,22.2
101903-3,0,17.4,17.3,17.1,18.2
101904-1,34.5,32.1,27.8,30.8,35.0
102001-1,23.2,24.9,29.2,26.4,32.8
102001-2,26.8,29.7,29.9,29.7,27.9
102002-1,20.2,31.5,30.3,26.5,30.2
102002-2,25.9,26.3,26.7,36.9,24.1
102002-3,27.5,23.7,21.1,21.9,25.1
102003-1,24.4,23.7,25.8,25.9,27.4
102004-1,30.2,27.3,26.0,23.8,22.9
102005-1,26.9,26.8,24.0,21.5,21.4
102005-2,0,0,0,0,0
102005-3,30.3,41.7,50.0,50.0,50.0
102005-4,22.6,26.5,30.4,30.0,33.9
102006-1,19.1,20.4,22.6,24.8,24.1
980100-1,0,0,0,0,0
