id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,3.5,3.8,4.0,3.9,3.9
100200-1,5.0,4.8,4.5,4.5,4.5
100200-2,5.0,5.1,5.3,5.2,4.8
100300-1,4.9,4.8,4.8,5.1,5.1
100300-2,5.2,5.1,5.3,5.9,6.0
100300-3,6.4,6.2,6.3,6.4,6.4
100400-1,4.3,4.4,4.6,4.7,4.9
100400-2,5.0,5.0,4.8,4.8,4.8
100500-1,6.1,6.2,5.9,6.5,5.9
100500-2,4.9,4.4,4.2,4.4,4.1
100500-3,4.1,4.2,4.2,4.2,4.2
100601-1,6.3,6.2,6.1,6.3,6.3
100602-1,4.7,4.0,4.4,4.3,4.3
100602-2,5.3,5.6,5.6,6.0,6.0
100700-1,5.1,5.2,5.2,5.3,5.2
100700-2,5.6,5.7,5.6,5.5,5.8
100800-1,4.5,4.5,4.4,4.1,4.1
100800-2,4.6,4.8,4.7,4.5,4.7
100900-1,3.9,3.5,3.8,3.7,4.0
100900-2,4.9,4.7,4.8,4.9,4.7
101001-1,5.9,6.0,5.8,5.6,5.5
101001-2,5.8,5.7,5.5,5.4,5.4
101002-1,5.6,5.4,5.4,5.3,5.4
101002-2,5.8,5.7,5.7,5.6,5.6
101101-1,5.7,5.7,5.7,5.3,5.4
101102-1,5.2,5.2,5.3,5.3,5.4
101102-2,5.3,5.3,5.3,5.4,5.4
101102-3,5.4,5.5,5.6,5.5,5.6
101102-4,5.1,5.2,5.3,5.1,5.2
101103-1,6.0,6.0,6.0,6.0,6.1
101201-1,5.2,5.1,5.0,4.9,4.9
101202-1,4.7,4.5,4.6,4.9,5.1
101202-2,5.2,5.0,5.1,5.2,5.2
101303-1,4.3,4.4,4.3,4.6,4.6
101303-2,4.9,4.7,5.1,4.8,5.1
101303-3,6.4,6.4,6.4,6.3,6.4
101304-1,5.1,5.0,4.9,5.0,5.1
101304-2,4.3,4.4,4.3,4.6,4.9
101304-3,4.5,4.2,4.3,4.5,4.1
101305-1,6.2,6.1,6.0,6.5,6.0
101306-1,5.9,5.7,5.5,5.6,5.6
101306-2,5.5,5.2,5.2,5.2,5.2
101306-3,5.2,5.1,5.2,5.3,5.4
101307-1,5.3,5.3,5.0,5.2,5.3
101400-1,0,0,0,0,0
101400-2,5.7,5.9,5.9,5.9,5.7
101400-3,6.2,6.2,6.1,6.0,5.9
101500-1,5.7,5.7,5.7,5.2,5.3
101500-2,6.3,6.2,6.1,6.1,6.0
101500-3,5.1,4.9,5.1,5.0,5.2
101500-4,6.1,5.8,5.8,5.8,5.6
101600-1,5.7,5.7,5.6,6.1,6.2
101600-2,4.5,5.8,5.1,5.4,5.7
101600-3,6.2,6.4,6.3,6.3,6.1
101700-1,6.1,6.1,6.2,6.1,6.0
101700-2,5.9,6.1,6.1,6.0,5.9
101700-3,7.3,7.5,7.5,7.1,6.4
101700-4,6.3,6.2,6.3,6.3,6.6
101700-5,5.7,5.8,6.4,6.7,6.8
101802-1,6.8,6.9,6.8,6.7,6.7
101802-2,6.0,6.0,5.9,5.9,6.0
101802-3,6.5,6.7,6.4,6.1,6.0
101802-4,6.0,5.9,5.9,6.0,5.8
101803-1,6.6,6.5,6.2,6.0,6.2
101803-2,7.0,7.3,7.4,7.4,7.4
101804-1,7.7,7.7,7.3,7.0,6.8
101804-2,7.3,7.4,7.4,7.3,7.5
101902-1,6.6,6.7,6.7,6.9,6.8
101903-1,4.9,4.8,4.9,5.0,4.8
101903-2,6.0,6.1,6.0,5.9,6.6
101903-3,7.1,7.3,6.5,6.8,7.1
101904-1,7.7,7.0,7.7,7.6,7.9
102001-1,5.9,6.2,5.8,6.0,6.4
102001-2,5.3,5.2,5.6,5.1,5.1
102002-1,6.4,6.5,6.2,6.1,6.1
102002-2,6.8,6.9,7.0,7.4,7.3
102002-3,5.7,5.5,5.5,5.2,5.4
102003-1,6.2,5.9,5.6,5.7,6.0
102004-1,5.8,5.5,5.1,5.2,5.1
102005-1,5.1,5.0,4.9,4.7,4.5
102005-2,0,0,0,7.7,7.8
102005-3,4.3,4.4,4.9,4.9,4.9
102005-4,6.6,5.9,6.0,6.4,6.5
102006-1,6.5,6.5,6.5,6.5,6.4
980100-1,0,0,0,0,0
