id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,102,54,129,101,108
100200-1,100,91,85,71,78
100200-2,192,127,103,142,120
100300-1,200,163,202,97,130
100300-2,397,320,422,399,313
100300-3,227,246,192,266,97
100400-1,39,44,94,141,142
100400-2,203,307,246,238,153
100500-1,124,93,77,135,166
100500-2,133,148,163,156,87
100500-3,270,358,298,338,390
100601-1,240,286,301,304,320
100602-1,194,150,131,111,111
100602-2,331,258,267,203,190
100700-1,26,40,56,36,28
100700-2,112,68,39,51,83
100800-1,123,145,146,136,154
100800-2,45,103,100,89,108
100900-1,97,115,53,75,74
100900-2,119,50,81,220,264
101001-1,61,67,62,81,78
101001-2,397,475,532,511,348
101002-1,303,325,370,259,190
101002-2,178,188,259,253,254
101101-1,399,406,463,331,307
101102-1,108,118,165,144,109
101102-2,218,232,254,259,259
101102-3,321,328,240,330,346
101102-4,97,354,316,340,299
101103-1,181,181,299,311,272
101201-1,339,387,343,252,322
101202-1,262,158,133,255,252
101202-2,315,204,261,286,327
101303-1,165,220,218,257,285
101303-2,233,342,348,375,449
101303-3,699,776,790,731,682
101304-1,218,166,202,301,343
101304-2,27,65,90,257,297
101304-3,183,215,186,210,199
101305-1,564,430,434,671,796
101306-1,155,149,152,129,142
101306-2,167,200,182,196,248
101306-3,325,314,314,304,191
101307-1,294,292,408,408,415
101400-1,124,153,115,142,107
101400-2,146,133,151,133,147
101400-3,541,643,648,687,655
101500-1,102,131,137,113,123
101500-2,494,467,474,385,377
101500-3,110,117,83,100,70
101500-4,157,108,120,187,167
101600-1,406,376,374,374,463
101600-2,25,38,71,68,53
101600-3,129,145,134,107,150
101700-1,103,81,86,41,73
101700-2,125,136,143,280,276
101700-3,214,175,173,128,82
101700-4,134,169,128,113,117
101700-5,97,74,195,214,211
101802-1,303,253,178,169,148
101802-2,157,116,137,183,244
101802-3,250,234,227,143,141
101802-4,265,149,104,87,150
101803-1,677,575,499,494,499
101803-2,42,46,45,72,100
101804-1,420,466,361,358,289
101804-2,487,474,576,541,477
101902-1,274,299,293,301,297
101903-1,460,336,356,351,477
101903-2,288,252,491,575,502
101903-3,199,228,148,86,209
101904-1,254,234,302,310,349
102001-1,494,432,359,287,306
102001-2,310,375,345,433,387
102002-1,116,159,161,206,125
102002-2,164,153,164,140,134
102002-3,351,284,336,494,631
102003-1,634,888,866,795,755
102004-1,547,616,658,762,844
102005-1,311,226,270,276,371
102005-2,0,0,0,0,0
102005-3,21,30,30,28,28
102005-4,44,56,82,111,169
102006-1,470,677,845,1067,1244
980100-1,34,44,50,47,29
