id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,61,71,139,118,92
100200-1,41,35,51,51,55
100200-2,117,116,137,117,106
100300-1,112,78,94,142,189
100300-2,139,105,84,28,14
100300-3,172,164,144,221,242
100400-1,271,283,310,255,226
100400-2,154,243,158,163,178
100500-1,129,147,99,135,151
100500-2,212,201,252,268,238
100500-3,171,180,152,146,114
100601-1,382,315,300,271,263
100602-1,219,183,200,173,177
100602-2,207,236,214,180,158
100700-1,20,35,36,47,47
100700-2,98,124,82,76,86
100800-1,127,161,180,188,187
100800-2,120,166,119,61,64
100900-1,170,163,129,128,107
100900-2,124,127,137,130,138
101001-1,77,121,146,141,119
101001-2,253,217,195,162,151
101002-1,33,50,44,43,47
101002-2,133,134,142,119,115
101101-1,132,164,183,165,192
101102-1,154,128,152,102,89
101102-2,67,62,80,91,83
101102-3,120,152,172,201,259
101102-4,97,194,192,220,251
101103-1,278,270,205,223,185
101201-1,111,129,130,169,181
101202-1,79,149,145,150,156
101202-2,125,110,140,133,135
101303-1,60,61,61,99,97
101303-2,84,64,76,26,77
101303-3,247,326,281,394,399
101304-1,148,153,98,129,123
101304-2,19,36,39,75,69
101304-3,140,137,130,179,214
101305-1,66,100,98,171,202
101306-1,77,92,78,36,52
101306-2,17,29,62,43,59
101306-3,125,124,125,133,111
101307-1,205,213,232,220,171
101400-1,0,0,0,0,0
101400-2,34,44,32,7,8
101400-3,179,175,143,98,69
101500-1,103,54,42,26,25
101500-2,126,159,139,185,200
101500-3,123,90,90,108,134
101500-4,60,50,72,71,76
101600-1,246,215,211,174,197
101600-2,110,158,141,160,118
101600-3,162,112,79,132,165
101700-1,141,150,120,128,126
101700-2,167,164,85,132,128
101700-3,96,64,61,78,104
101700-4,191,181,177,142,154
101700-5,166,158,200,190,162
101802-1,342,296,261,279,167
101802-2,89,73,80,82,82
101802-3,50,65,91,76,117
101802-4,263,254,190,219,218
101803-1,113,173,270,382,468
101803-2,61,52,35,36,39
101804-1,272,229,246,271,296
101804-2,39,35,40,92,118
101902-1,131,129,124,145,168
101903-1,185,170,166,114,138
101903-2,174,161,146,149,116
101903-3,93,88,60,50,145
101904-1,118,124,116,132,155
102001-1,166,133,130,82,55
102001-2,123,119,96,178,157
102002-1,43,51,17,27,31
102002-2,45,54,65,75,41
102002-3,138,187,177,171,195
102003-1,85,69,110,154,150
102004-1,186,180,183,116,86
102005-1,103,73,88,67,87
102005-2,0,0,0,29,20
102005-3,27,0,46,43,39
102005-4,0,79,68,57,62
102006-1,222,156,147,188,254
980100-1,0,0,0,0,0
