id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,836,947,941,1016,942
100200-1,566,546,593,569,552
100200-2,860,951,939,852,803
100300-1,1145,943,825,943,1101
100300-2,1694,1692,1526,1829,1577
100300-3,1585,1747,1729,1944,1640
100400-1,851,810,1045,1035,946
100400-2,475,405,445,454,430
100500-1,880,772,710,871,1090
100500-2,1191,1093,1233,1073,686
100500-3,1848,2455,2050,2059,2147
100601-1,2147,1955,2009,2095,1941
100602-1,1011,817,762,860,749
100602-2,1722,1641,1728,1642,1632
100700-1,373,451,356,399,370
100700-2,310,346,349,419,458
100800-1,1263,1103,1018,919,945
100800-2,54,136,124,73,128
100900-1,443,581,516,628,615
100900-2,601,628,798,603,730
101001-1,706,621,619,771,876
101001-2,2343,2250,2302,2190,1708
101002-1,1225,899,742,756,771
101002-2,785,898,1003,1142,1358
101101-1,1496,1711,1776,1864,1899
101102-1,662,625,993,873,824
101102-2,1266,1426,1145,1632,1400
101102-3,2050,1891,1640,1623,1664
101102-4,1404,1502,1494,1327,1121
101103-1,2290,2346,2242,2193,2104
101201-1,814,943,867,982,949
101202-1,999,987,1042,1150,1292
101202-2,1590,1360,1477,1741,1494
101303-1,876,911,797,695,741
101303-2,994,859,1073,1069,1337
101303-3,2511,2923,3400,3827,4089
101304-1,1515,1636,1691,1632,1516
101304-2,298,292,407,532,647
101304-3,1050,890,1029,771,529
101305-1,1891,2266,2237,2599,2987
101306-1,725,848,953,866,1066
101306-2,1546,1455,1441,1253,1037
101306-3,952,777,1021,886,781
101307-1,922,1073,1172,1263,1336
101400-1,680,639,624,627,606
101400-2,1014,827,899,813,780
101400-3,2849,3237,3474,3442,3633
101500-1,946,909,1026,705,800
101500-2,2940,2724,2738,2490,2416
101500-3,908,906,913,1213,1247
101500-4,1607,1465,1158,1350,1420
101600-1,2630,2605,2592,2756,3001
101600-2,861,961,989,1164,1258
101600-3,1497,1596,1761,1635,1448
101700-1,1463,1289,1268,1131,1296
101700-2,2072,2018,2094,2269,2260
101700-3,1055,820,929,1113,1034
101700-4,1575,1672,1583,1395,1460
101700-5,1341,1727,1721,1693,1753
101802-1,3777,3931,3833,3593,3545
101802-2,1471,1300,1376,1821,2116
101802-3,1250,1121,1114,1194,1125
101802-4,2748,2461,2707,2863,2664
101803-1,5280,5494,5266,4563,4177
101803-2,1046,1077,958,1307,1297
101804-1,2607,2649,2399,2711,3207
101804-2,3045,3128,3271,3244,2929
101902-1,2595,2435,2423,2302,2174
101903-1,2689,2611,2782,3290,3718
101903-2,2469,2259,2416,2328,2354
101903-3,1159,1086,969,812,972
101904-1,2226,2139,2629,2828,3106
102001-1,2161,2307,2006,1747,1603
102001-2,1323,1722,2013,2067,2118
102002-1,1384,1736,1706,1552,1251
102002-2,908,771,960,1292,1326
102002-3,3111,2950,3006,3081,3253
102003-1,2784,3255,3924,3765,4194
102004-1,3197,3140,3205,3261,3156
102005-1,1588,2141,1986,1746,2134
102005-2,129,130,102,122,180
102005-3,441,476,462,534,544
102005-4,821,878,721,690,715
102006-1,3744,4600,4922,5215,5723
980100-1,101,133,165,171,158
