id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,16,19,19,12,16
100200-1,0,0,4,4,5
100200-2,3,3,8,5,18
100300-1,13,0,16,18,14
100300-2,29,53,40,60,61
100300-3,52,51,43,29,63
100400-1,74,71,62,58,31
100400-2,37,10,0,25,33
100500-1,10,0,0,0,0
100500-2,0,0,0,0,0
100500-3,193,283,292,257,282
100601-1,55,61,85,74,59
100602-1,19,14,0,9,20
100602-2,44,61,57,65,63
100700-1,0,0,0,0,2
100700-2,28,30,7,22,24
100800-1,62,32,60,36,42
100800-2,26,0,0,11,24
100900-1,4,20,23,62,51
100900-2,26,0,0,57,59
101001-1,19,9,27,31,101
101001-2,107,169,189,190,327
101002-1,73,80,53,87,101
101002-2,30,42,30,25,9
101101-1,76,44,118,86,72
101102-1,15,20,16,16,17
101102-2,0,0,0,0,28
101102-3,18,79,83,105,187
101102-4,58,58,48,61,53
101103-1,73,92,150,130,157
101201-1,40,63,70,67,100
101202-1,61,89,95,104,103
101202-2,71,47,52,56,50
101303-1,24,26,13,14,0
101303-2,12,43,50,44,29
101303-3,254,220,278,181,260
101304-1,36,0,11,36,20
101304-2,0,0,0,0,0
101304-3,28,25,59,52,46
101305-1,34,70,123,124,175
101306-1,8,11,59,44,52
101306-2,60,50,30,55,118
101306-3,83,82,12,25,48
101307-1,121,93,116,111,91
101400-1,0,0,0,0,0
101400-2,8,8,9,9,10
101400-3,7,0,8,7,7
101500-1,40,35,30,0,0
101500-2,18,5,32,68,91
101500-3,133,125,104,128,116
101500-4,37,41,38,45,7
101600-1,136,106,130,208,159
101600-2,0,0,0,0,14
101600-3,0,51,89,114,142
101700-1,93,78,60,74,57
101700-2,137,155,119,89,52
101700-3,13,13,11,22,13
101700-4,0,29,115,137,186
101700-5,106,155,146,120,171
101802-1,160,142,135,135,175
101802-2,17,14,12,49,39
101802-3,29,40,29,30,14
101802-4,264,241,217,242,181
101803-1,128,120,211,110,249
101803-2,17,10,10,56,48
101804-1,60,114,108,134,122
101804-2,148,152,118,100,108
101902-1,74,64,55,31,56
101903-1,109,125,193,264,201
101903-2,34,40,51,137,139
101903-3,36,0,0,0,0
101904-1,68,47,84,81,72
102001-1,90,42,32,37,56
102001-2,74,42,45,185,163
102002-1,0,44,49,52,47
102002-2,0,0,12,15,15
102002-3,192,283,206,222,235
102003-1,117,117,82,122,229
102004-1,70,65,104,121,115
102005-1,97,0,5,52,113
102005-2,0,0,0,0,0
102005-3,0,0,0,0,0
102005-4,11,13,0,0,0
102006-1,151,175,221,274,388
980100-1,0,0,0,0,0
