id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,177,263,240,324,211
100200-1,499,541,508,461,430
100200-2,850,821,938,666,554
100300-1,1174,1071,916,891,1140
100300-2,1602,1769,1676,2191,1871
100300-3,1836,1954,1805,1937,1441
100400-1,1224,1270,1556,1362,1310
100400-2,1111,1238,935,1151,1065
100500-1,798,627,674,801,927
100500-2,903,875,909,746,424
100500-3,1599,2491,2135,1809,1938
100601-1,1711,1635,1651,1778,1642
100602-1,722,503,550,583,404
100602-2,1462,1361,1444,1393,1314
100700-1,226,275,273,341,300
100700-2,740,693,502,638,661
100800-1,573,692,789,843,826
100800-2,356,554,546,431,420
100900-1,667,793,557,458,406
100900-2,826,837,942,930,1147
101001-1,961,918,785,1032,1007
101001-2,2988,2917,2855,2788,2500
101002-1,1660,1451,1516,1203,1270
101002-2,1391,1381,1358,1306,1452
101101-1,2042,2046,2190,2201,2366
101102-1,662,684,1183,1147,1117
101102-2,2109,2163,1854,2116,1878
101102-3,2103,1970,1975,1888,1835
101102-4,2041,1663,1548,1463,1417
101103-1,2534,2416,2550,2550,2398
101201-1,2103,2137,2207,1812,1845
101202-1,1063,1153,1100,1321,1410
101202-2,1829,1811,1965,2213,2154
101303-1,1025,1504,1684,1595,1812
101303-2,1496,1496,1903,2286,2326
101303-3,4945,6202,6215,5782,6179
101304-1,2250,2267,2343,2372,2172
101304-2,1555,1493,1602,1515,1581
101304-3,1235,1014,1194,1000,682
101305-1,3443,3611,3539,4417,4746
101306-1,1059,1091,1225,974,1223
101306-2,2010,2000,2266,2547,2380
101306-3,1361,1437,1996,1742,1576
101307-1,2314,2220,2395,2282,2006
101400-1,0,0,0,0,0
101400-2,1351,1187,1135,947,952
101400-3,3825,4284,4436,4305,4479
101500-1,933,967,1077,799,801
101500-2,3065,2851,2858,2609,2570
101500-3,1063,1243,1171,1506,1428
101500-4,1629,1723,1459,1679,1680
101600-1,2597,2652,2532,2731,3187
101600-2,798,830,911,1117,1351
101600-3,1355,1437,1636,1501,1353
101700-1,1293,1068,1081,935,1162
101700-2,1802,1743,2073,2257,2233
101700-3,1181,870,939,1111,1018
101700-4,1516,1585,1394,1194,1266
101700-5,1222,1683,1799,1472,1591
101802-1,3528,3900,3844,3544,3591
101802-2,1290,1141,1291,1650,1991
101802-3,1302,1381,1205,1227,1107
101802-4,2422,2075,2360,2385,2199
101803-1,5419,5549,5267,4758,4386
101803-2,968,972,860,1314,1298
101804-1,2854,2688,2509,2903,3286
101804-2,3161,3175,3269,3020,3021
101902-1,2694,2519,2573,2354,2192
101903-1,3375,3320,3004,3681,4079
101903-2,2603,2541,2866,3019,2860
101903-3,1298,1075,1266,940,966
101904-1,2479,2452,3055,3360,3646
102001-1,2610,2784,2116,1939,1912
102001-2,1223,1577,1810,2558,2763
102002-1,1603,1840,1775,1637,1421
102002-2,1322,1410,1617,1743,1811
102002-3,4063,3933,4227,4342,4554
102003-1,4821,5262,5344,5712,5940
102004-1,4114,4081,4206,4652,4733
102005-1,2216,2452,2170,1847,2218
102005-2,90,78,54,206,233
102005-3,397,460,596,744,742
102005-4,876,1328,1009,883,1172
102006-1,5188,5887,6553,7146,7911
980100-1,0,0,0,0,0
