id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,36,48,42,32,32
100200-1,5,11,9,8,9
100200-2,88,41,26,2,2
100300-1,13,11,0,0,0
100300-2,66,78,39,28,22
100300-3,80,90,40,30,60
100400-1,88,100,108,62,46
100400-2,48,72,82,92,141
100500-1,15,16,16,13,30
100500-2,56,55,57,8,15
100500-3,388,401,162,202,228
100601-1,65,18,26,34,29
100602-1,7,17,15,15,15
100602-2,7,69,98,94,73
100700-1,15,19,14,13,0
100700-2,70,68,45,12,0
100800-1,33,30,33,31,55
100800-2,44,59,119,107,84
100900-1,41,41,45,52,54
100900-2,21,0,0,0,0
101001-1,72,80,64,84,13
101001-2,164,228,193,162,138
101002-1,55,72,185,18,18
101002-2,159,124,103,138,159
101101-1,49,43,42,32,40
101102-1,83,74,81,86,137
101102-2,24,13,30,14,20
101102-3,147,169,101,150,163
101102-4,256,201,166,178,118
101103-1,110,111,80,142,139
101201-1,93,83,58,36,27
101202-1,48,44,53,35,38
101202-2,138,71,59,58,61
101303-1,45,26,58,35,37
101303-2,45,43,44,13,15
101303-3,128,199,178,191,19
101304-1,106,29,32,25,49
101304-2,61,55,54,71,70
101304-3,48,43,130,95,100
101305-1,78,81,129,172,185
101306-1,42,10,16,46,47
101306-2,71,9,8,9,21
101306-3,53,47,51,52,59
101307-1,164,134,132,82,112
101400-1,51,86,81,95,148
101400-2,26,28,28,27,8
101400-3,49,67,57,32,12
101500-1,59,54,68,39,38
101500-2,77,41,39,29,119
101500-3,0,30,27,31,30
101500-4,0,21,21,38,55
101600-1,161,184,181,151,48
101600-2,0,0,0,0,0
101600-3,90,130,126,110,146
101700-1,56,23,21,22,20
101700-2,178,146,130,155,149
101700-3,19,18,19,24,22
101700-4,150,162,166,151,147
101700-5,76,87,96,13,13
101802-1,159,181,229,248,225
101802-2,55,50,81,80,113
101802-3,35,18,0,0,0
101802-4,32,66,77,96,129
101803-1,546,459,315,160,161
101803-2,46,39,29,0,0
101804-1,21,93,79,146,111
101804-2,167,103,49,67,42
101902-1,66,67,95,66,68
101903-1,119,14,14,13,39
101903-2,222,219,233,235,172
101903-3,32,18,30,12,14
101904-1,92,96,140,80,86
102001-1,201,172,122,119,71
102001-2,58,83,75,198,144
102002-1,176,85,89,45,41
102002-2,11,0,26,38,29
102002-3,262,281,342,221,274
102003-1,246,80,174,219,198
102004-1,149,171,82,93,53
102005-1,112,90,86,56,49
102005-2,0,0,0,0,0
102005-3,9,17,25,21,15
102005-4,0,0,0,0,0
102006-1,249,270,237,251,279
980100-1,5,6,19,16,33
