id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,65,73,121,159,136
100200-1,142,151,151,124,118
100200-2,211,207,187,142,104
100300-1,298,240,269,261,271
100300-2,300,353,420,438,384
100300-3,347,434,380,460,440
100400-1,271,318,338,288,255
100400-2,236,248,200,227,194
100500-1,243,236,242,234,270
100500-2,143,177,226,181,181
100500-3,325,417,413,331,337
100601-1,516,486,467,526,530
100602-1,143,148,110,105,101
100602-2,467,403,388,386,376
100700-1,72,109,107,117,117
100700-2,120,154,115,108,133
100800-1,111,116,105,114,148
100800-2,89,90,80,30,21
100900-1,84,138,81,69,69
100900-2,135,151,221,280,308
101001-1,205,246,208,250,266
101001-2,617,675,590,515,453
101002-1,426,368,333,294,295
101002-2,395,406,368,328,314
101101-1,503,510,477,386,481
101102-1,102,108,151,121,122
101102-2,476,492,367,442,368
101102-3,611,584,603,576,548
101102-4,364,397,393,387,384
101103-1,612,606,581,550,540
101201-1,547,567,528,393,375
101202-1,320,308,291,318,309
101202-2,530,515,515,501,494
101303-1,349,476,497,413,439
101303-2,388,417,541,600,680
101303-3,1414,1631,1643,1538,1573
101304-1,677,680,674,580,584
101304-2,76,107,186,364,448
101304-3,377,281,297,197,134
101305-1,701,753,744,902,1027
101306-1,301,322,344,285,318
101306-2,585,556,602,603,471
101306-3,288,279,421,386,341
101307-1,433,420,436,456,487
101400-1,12,3,7,10,11
101400-2,349,322,309,231,222
101400-3,1107,1213,1215,1178,1151
101500-1,250,249,304,273,255
101500-2,1059,922,889,781,791
101500-3,356,427,340,473,464
101500-4,488,486,394,424,379
101600-1,566,617,585,624,656
101600-2,255,263,189,213,253
101600-3,407,441,464,428,378
101700-1,400,333,330,321,354
101700-2,512,461,516,613,629
101700-3,391,287,286,342,326
101700-4,471,486,435,343,336
101700-5,410,544,542,482,517
101802-1,921,981,916,918,876
101802-2,392,368,357,430,477
101802-3,303,306,253,266,296
101802-4,726,679,751,673,642
101803-1,1480,1445,1322,1262,1280
101803-2,274,291,267,375,344
101804-1,913,892,750,791,953
101804-2,1026,1089,1007,950,807
101902-1,764,736,717,687,652
101903-1,876,811,844,874,1047
101903-2,642,687,810,814,811
101903-3,425,397,406,299,291
101904-1,612,647,784,901,943
102001-1,748,849,704,608,634
102001-2,310,423,470,604,539
102002-1,414,433,427,399,383
102002-2,282,288,356,434,475
102002-3,913,909,1088,1095,1325
102003-1,1186,1254,1264,1415,1552
102004-1,1131,1194,1173,1249,1239
102005-1,633,679,664,571,685
102005-2,22,19,13,51,70
102005-3,119,175,124,144,119
102005-4,215,366,280,253,282
102006-1,1354,1540,1696,1827,2033
980100-1,0,0,0,0,0
