id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,142,153,37,28,22
100200-1,76,84,33,39,40
100200-2,35,5,4,14,32
100300-1,30,8,6,10,23
100300-2,79,47,99,64,63
100300-3,50,60,63,81,76
100400-1,38,51,78,84,49
100400-2,46,76,45,31,21
100500-1,23,0,16,18,15
100500-2,31,46,34,28,28
100500-3,116,99,75,42,34
100601-1,50,50,64,43,74
100602-1,69,27,18,19,17
100602-2,64,65,83,85,65
100700-1,19,26,32,48,56
100700-2,11,36,31,32,69
100800-1,101,86,93,101,34
100800-2,5,7,4,5,0
100900-1,75,9,19,7,31
100900-2,17,0,0,0,6
101001-1,61,30,28,31,15
101001-2,60,104,146,156,168
101002-1,156,163,185,111,89
101002-2,28,30,43,69,47
101101-1,128,76,95,139,73
101102-1,0,30,68,92,85
101102-2,81,63,46,124,130
101102-3,51,49,55,109,90
101102-4,0,36,75,131,132
101103-1,71,67,73,72,82
101201-1,74,78,83,54,51
101202-1,8,24,21,20,32
101202-2,108,27,29,45,40
101303-1,47,42,12,11,7
101303-2,187,137,141,141,103
101303-3,378,461,444,120,179
101304-1,135,159,194,146,169
101304-2,22,43,49,42,62
101304-3,30,26,78,48,59
101305-1,138,115,56,107,122
101306-1,55,67,72,13,22
101306-2,143,59,54,21,19
101306-3,43,38,68,86,76
101307-1,86,58,58,36,64
101400-1,0,0,0,0,0
101400-2,0,8,8,8,8
101400-3,6,7,0,23,43
101500-1,16,15,33,37,21
101500-2,112,98,140,165,164
101500-3,63,76,69,104,57
101500-4,77,58,39,47,51
101600-1,46,62,67,91,196
101600-2,23,27,35,31,16
101600-3,55,88,113,91,87
101700-1,14,0,12,15,14
101700-2,42,43,38,47,47
101700-3,74,37,34,0,16
101700-4,123,139,126,118,70
101700-5,0,13,12,32,28
101802-1,153,117,96,112,159
101802-2,77,54,85,115,90
101802-3,92,73,71,36,48
101802-4,171,116,105,106,55
101803-1,186,180,136,99,117
101803-2,15,15,23,60,87
101804-1,191,212,221,296,252
101804-2,57,72,141,113,121
101902-1,173,152,181,204,160
101903-1,165,219,131,187,256
101903-2,121,112,75,161,159
101903-3,130,45,103,15,16
101904-1,115,73,99,61,100
102001-1,130,105,74,72,81
102001-2,109,100,93,148,159
102002-1,39,49,28,17,13
102002-2,72,104,93,112,99
102002-3,206,175,107,120,221
102003-1,319,336,281,370,387
102004-1,237,262,298,258,233
102005-1,69,134,127,126,169
102005-2,0,0,0,0,0
102005-3,17,24,28,25,2
102005-4,31,57,27,0,4
102006-1,279,310,340,409,437
980100-1,0,0,0,0,0
