id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,225,196,224,156,216
100200-1,82,111,101,28,25
100200-2,151,66,109,74,23
100300-1,278,478,530,275,257
100300-2,330,402,465,442,353
100300-3,333,323,237,89,33
100400-1,816,943,926,718,650
100400-2,722,815,518,724,788
100500-1,77,14,74,46,49
100500-2,91,87,105,106,76
100500-3,108,361,567,516,540
100601-1,57,97,100,111,144
100602-1,15,29,136,131,89
100602-2,49,65,70,59,34
100700-1,13,19,17,13,27
100700-2,538,493,286,323,307
100800-1,745,828,938,1017,861
100800-2,510,658,679,603,495
100900-1,517,417,292,231,156
100900-2,387,309,176,394,489
101001-1,293,291,226,350,400
101001-2,688,756,668,600,813
101002-1,494,589,474,471,492
101002-2,419,558,498,425,331
101101-1,802,659,771,650,767
101102-1,78,158,355,461,414
101102-2,836,731,776,518,492
101102-3,159,201,345,433,568
101102-4,961,570,467,589,611
101103-1,347,156,344,363,347
101201-1,1118,1108,1300,871,892
101202-1,239,247,145,184,120
101202-2,352,409,435,442,617
101303-1,226,584,858,945,1007
101303-2,406,493,602,738,571
101303-3,2038,2606,2223,1631,1677
101304-1,518,605,470,623,765
101304-2,1215,1130,1051,809,777
101304-3,289,253,340,419,457
101305-1,1387,1181,1018,1580,1571
101306-1,259,272,246,127,76
101306-2,472,523,639,1093,1277
101306-3,603,828,919,821,715
101307-1,1402,1204,1282,936,657
101400-1,319,289,245,283,289
101400-2,122,114,86,0,20
101400-3,511,479,370,473,340
101500-1,74,119,102,117,98
101500-2,7,26,25,89,44
101500-3,241,351,302,355,259
101500-4,55,232,246,280,173
101600-1,225,276,223,227,438
101600-2,38,49,0,47,64
101600-3,64,0,0,0,67
101700-1,87,62,55,52,49
101700-2,0,0,0,0,0
101700-3,141,54,0,0,0
101700-4,44,29,0,0,0
101700-5,0,38,145,102,107
101802-1,63,116,171,200,216
101802-2,0,0,76,78,111
101802-3,247,360,187,164,26
101802-4,116,0,27,31,35
101803-1,415,368,515,571,594
101803-2,14,5,10,75,74
101804-1,255,118,339,302,319
101804-2,25,0,0,0,85
101902-1,63,135,235,231,280
101903-1,1084,1037,581,898,1135
101903-2,186,182,453,529,489
101903-3,213,95,292,52,45
101904-1,260,315,352,428,388
102001-1,551,358,614,587,695
102001-2,138,101,48,480,541
102002-1,159,86,54,75,77
102002-2,342,318,479,433,429
102002-3,663,626,934,1077,1217
102003-1,1870,1841,1268,1647,1812
102004-1,1151,1394,1468,1664,1952
102005-1,832,489,708,541,393
102005-2,0,0,0,0,0
102005-3,77,44,244,374,467
102005-4,41,339,339,305,537
102006-1,1440,1167,1492,1697,1765
980100-1,32,45,69,65,55
