id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,26.2,24.1,27.7,29.3,27.8
100200-1,27.9,27.8,28.0,29.0,32.4
100200-2,30.2,28.9,29.3,31.8,36.7
100300-1,29.1,26.9,29.8,46.8,43.1
100300-2,31.4,31.9,39.1,31.9,32.1
100300-3,27.6,27.2,27.7,32.9,39.9
100400-1,31.3,31.8,31.3,30.6,30.4
100400-2,35.2,35.3,33.0,28.8,29.2
100500-1,48.0,49.8,34.9,40.8,43.7
100500-2,35.1,35.8,35.9,36.1,50.7
100500-3,26.6,27.3,29.6,27.8,27.4
100601-1,50.1,49.4,47.2,46.7,47.2
100602-1,40.0,47.3,55.1,38.0,37.5
100602-2,40.5,42.5,43.0,43.8,40.9
100700-1,35.9,35.9,44.5,44.1,44.8
100700-2,29.6,44.2,48.1,38.7,45.8
100800-1,20.8,21.2,21.6,21.9,21.8
100800-2,53.0,45.4,42.4,42.5,40.1
100900-1,38.8,37.4,41.7,38.4,42.4
100900-2,25.5,27.2,32.5,31.9,33.3
101001-1,29.2,37.4,41.3,38.4,30.5
101001-2,26.7,26.7,28.6,26.6,28.4
101002-1,27.6,27.9,28.5,27.0,26.5
101002-2,29.3,27.6,31.8,38.1,32.3
101101-1,27.8,27.9,28.9,27.2,27.9
101102-1,27.5,27.5,26.4,26.0,26.4
101102-2,24.9,25.4,25.3,25.6,25.8
101102-3,27.6,29.9,29.3,31.5,31.5
101102-4,28.6,32.7,36.3,40.4,40.5
101103-1,34.2,34.0,32.2,32.0,32.8
101201-1,28.4,29.9,29.7,29.5,28.1
101202-1,34.0,28.6,29.9,30.2,30.6
101202-2,31.6,31.8,32.1,29.3,30.5
101303-1,27.1,26.2,25.9,25.6,24.3
101303-2,26.3,26.2,25.7,25.0,28.9
101303-3,28.0,27.5,27.7,27.8,26.0
101304-1,26.2,25.3,25.8,25.7,26.3
101304-2,15.3,15.9,23.2,26.5,27.3
101304-3,29.8,32.7,32.3,32.8,32.9
101305-1,29.0,26.6,27.5,25.6,26.2
101306-1,29.0,29.8,28.9,29.0,28.7
101306-2,24.8,25.7,25.7,25.2,24.5
101306-3,28.1,27.3,26.2,27.7,27.3
101307-1,22.2,23.0,24.4,26.3,29.6
101400-1,22.8,23.3,23.6,23.4,23.1
101400-2,20.9,21.2,20.8,20.9,20.5
101400-3,24.3,22.7,22.9,22.9,22.0
101500-1,37.3,36.8,37.5,43.8,40.8
101500-2,37.1,40.4,40.0,40.9,41.0
101500-3,37.2,32.6,35.1,32.1,35.1
101500-4,32.7,33.7,37.5,33.4,30.2
101600-1,31.0,30.6,32.1,32.1,28.9
101600-2,42.1,42.3,31.6,31.9,29.8
101600-3,44.4,38.9,34.2,37.0,48.1
101700-1,41.5,45.5,49.9,52.7,49.9
101700-2,40.2,35.6,35.0,37.7,35.6
101700-3,42.8,44.6,48.7,35.8,38.2
101700-4,46.4,46.1,47.9,49.3,46.5
101700-5,43.3,40.5,37.6,43.1,42.8
101802-1,37.4,37.3,38.4,39.9,39.9
101802-2,50.1,49.3,43.7,38.0,31.5
101802-3,39.1,34.2,39.2,34.5,44.8
101802-4,42.4,42.1,40.7,38.6,40.2
101803-1,34.3,34.6,31.2,34.9,39.4
101803-2,34.0,34.1,37.6,34.3,31.9
101804-1,41.5,43.8,42.5,40.0,36.6
101804-2,38.3,38.9,38.3,38.6,38.2
101902-1,38.3,38.3,37.2,40.1,37.5
101903-1,28.6,29.6,34.5,32.2,30.9
101903-2,32.9,34.4,35.0,34.9,35.4
101903-3,39.0,39.6,33.4,30.6,33.5
101904-1,34.4,34.5,34.3,35.4,35.4
102001-1,29.9,29.0,29.6,28.7,28.2
102001-2,38.4,31.3,31.4,28.3,28.3
102002-1,27.3,29.4,32.6,33.7,42.4
102002-2,26.5,25.4,28.8,23.3,23.6
102002-3,26.7,25.7,25.8,25.8,26.9
102003-1,26.8,27.4,25.5,26.5,26.4
102004-1,27.1,25.9,26.3,26.6,27.5
102005-1,27.3,26.7,27.0,27.3,30.7
102005-2,40.9,41.4,41.8,40.8,23.8
102005-3,36.1,28.3,27.1,25.9,28.7
102005-4,23.3,32.5,33.9,35.6,31.5
102006-1,28.4,30.2,29.5,29.6,29.5
980100-1,22.6,24.1,24.0,23.4,23.8
