id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,26.7,23.7,24.9,27.8,27.1
100200-1,34.0,33.3,33.2,33.0,33.3
100200-2,32.5,28.6,27.5,27.0,36.5
100300-1,29.5,28.3,37.6,49.0,39.0
100300-2,30.5,25.2,38.3,29.2,28.4
100300-3,33.7,36.1,33.4,34.4,38.9
100400-1,31.1,32.1,34.5,33.0,35.7
100400-2,34.5,35.2,33.9,28.8,29.7
100500-1,54.0,53.7,44.6,44.5,44.9
100500-2,38.4,41.6,45.9,48.5,62.7
100500-3,27.5,27.7,31.5,28.2,27.1
100601-1,50.9,49.8,47.7,47.5,48.6
100602-1,40.8,39.8,39.4,29.6,37.2
100602-2,40.1,40.4,43.6,44.0,43.3
100700-1,46.6,44.4,44.4,43.7,43.8
100700-2,24.9,45.7,49.1,38.3,52.2
100800-1,19.9,20.6,22.0,21.9,21.7
100800-2,54.8,48.8,42.7,51.0,42.7
100900-1,47.4,38.3,38.5,38.5,42.8
100900-2,26.0,27.4,40.1,40.8,35.8
101001-1,27.9,40.3,41.4,42.1,44.0
101001-2,28.4,29.2,31.4,28.6,30.4
101002-1,32.1,30.7,28.8,30.7,27.8
101002-2,29.1,25.6,28.7,40.1,34.5
101101-1,28.6,31.8,35.7,31.8,36.1
101102-1,21.9,21.7,21.1,21.3,22.0
101102-2,27.0,27.8,27.9,29.3,29.3
101102-3,24.7,27.9,28.0,31.0,34.1
101102-4,40.1,40.3,40.6,41.3,40.6
101103-1,33.4,33.0,32.4,32.2,33.8
101201-1,30.4,30.7,31.0,31.8,30.7
101202-1,36.3,27.4,27.9,26.8,26.6
101202-2,31.8,32.4,35.5,32.8,31.6
101303-1,26.8,25.9,24.9,25.3,24.1
101303-2,26.3,26.5,25.6,25.9,28.6
101303-3,29.9,29.7,29.3,29.9,29.1
101304-1,26.2,28.0,28.1,26.3,28.4
101304-2,23.8,24.1,24.9,26.6,27.0
101304-3,28.6,38.1,38.4,38.4,42.1
101305-1,30.0,27.8,27.4,26.4,26.2
101306-1,30.0,28.8,28.5,28.0,28.4
101306-2,25.4,25.8,25.0,24.8,24.4
101306-3,27.8,24.2,24.8,26.7,24.6
101307-1,21.3,21.9,22.9,26.6,31.3
101400-1,21.9,23.4,22.1,22.3,22.5
101400-2,21.4,21.6,21.3,20.4,20.1
101400-3,24.5,24.6,25.3,25.5,22.1
101500-1,36.8,36.6,36.7,44.5,41.3
101500-2,36.2,42.4,39.5,39.7,39.4
101500-3,28.3,26.8,35.2,31.8,35.3
101500-4,39.9,39.9,40.3,39.2,36.1
101600-1,30.4,30.2,30.8,30.6,28.8
101600-2,38.2,34.8,30.6,30.2,26.0
101600-3,44.8,44.7,35.9,43.9,50.3
101700-1,41.2,41.5,48.8,52.5,48.4
101700-2,35.9,33.4,34.7,35.7,35.2
101700-3,48.0,48.8,49.3,35.6,35.6
101700-4,46.6,46.6,50.6,52.1,49.9
101700-5,43.9,40.2,40.2,42.5,42.6
101802-1,38.1,38.2,38.3,39.7,40.4
101802-2,50.9,49.4,42.5,39.3,33.1
101802-3,39.6,33.5,34.9,28.0,44.2
101802-4,45.4,45.7,45.0,42.6,42.7
101803-1,35.1,35.6,28.8,32.9,40.8
101803-2,34.9,34.9,43.4,34.9,34.6
101804-1,43.4,44.6,43.3,42.9,37.0
101804-2,38.2,38.7,38.2,38.2,38.3
101902-1,37.7,37.9,37.5,39.0,40.1
101903-1,30.7,31.0,36.8,31.7,31.6
101903-2,34.2,38.5,39.0,38.6,39.1
101903-3,40.2,40.3,30.9,30.1,33.3
101904-1,31.8,34.1,33.6,35.7,33.8
102001-1,29.3,28.8,27.8,24.6,23.4
102001-2,38.3,31.7,31.6,28.6,28.3
102002-1,30.0,35.0,35.9,42.1,42.5
102002-2,26.3,25.8,26.7,27.6,27.8
102002-3,25.7,22.6,27.0,26.5,28.0
102003-1,27.2,27.9,25.8,28.9,28.5
102004-1,27.2,24.9,24.9,25.3,26.8
102005-1,27.9,26.9,26.6,27.2,30.4
102005-2,0,0,0,40.8,35.2
102005-3,53.2,36.8,27.1,25.3,27.2
102005-4,31.5,33.7,35.0,35.4,34.2
102006-1,29.2,30.4,30.2,30.0,29.8
980100-1,22.1,22.1,22.1,21.7,22.8
