id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,29,24,17,0,0
100200-1,0,0,0,0,0
100200-2,0,8,11,7,4
100300-1,0,0,0,0,0
100300-2,0,0,0,0,0
100300-3,0,0,0,0,0
100400-1,68,73,95,95,82
100400-2,4,2,0,0,0
100500-1,52,29,28,33,0
100500-2,0,0,0,0,0
100500-3,0,0,0,0,0
100601-1,4,0,8,10,11
100602-1,0,0,0,23,16
100602-2,10,22,18,0,0
100700-1,0,0,16,0,0
100700-2,0,0,0,9,16
100800-1,30,33,7,9,0
100800-2,0,0,0,0,0
100900-1,128,138,0,0,0
100900-2,15,19,7,7,0
101001-1,0,0,0,0,0
101001-2,0,0,0,7,5
101002-1,0,0,0,0,0
101002-2,0,0,0,0,0
101101-1,0,0,0,0,15
101102-1,0,0,0,0,0
101102-2,0,0,0,0,0
101102-3,8,7,12,13,0
101102-4,18,19,24,19,26
101103-1,0,0,0,0,7
101201-1,0,0,5,4,56
101202-1,43,27,0,66,69
101202-2,11,13,25,41,36
101303-1,0,0,10,11,9
101303-2,66,54,108,117,103
101303-3,0,0,0,28,34
101304-1,39,60,49,30,19
101304-2,0,0,0,0,0
101304-3,7,7,10,12,0
101305-1,15,0,25,25,18
101306-1,0,0,0,0,31
101306-2,0,0,0,0,0
101306-3,31,15,13,15,0
101307-1,0,14,49,58,56
101400-1,11,7,4,4,0
101400-2,6,7,7,0,0
101400-3,13,0,15,18,18
101500-1,0,0,0,0,0
101500-2,44,0,0,0,14
101500-3,0,0,0,0,0
101500-4,0,0,0,0,0
101600-1,0,0,0,0,0
101600-2,0,0,0,0,0
101600-3,0,0,0,0,0
101700-1,0,0,0,0,0
101700-2,0,0,0,0,0
101700-3,0,0,0,0,0
101700-4,0,0,0,0,0
101700-5,0,0,0,0,0
101802-1,0,0,0,0,0
101802-2,0,9,12,10,7
101802-3,0,0,0,0,0
101802-4,26,35,16,14,25
101803-1,64,87,124,120,97
101803-2,0,0,0,0,0
101804-1,0,0,0,0,12
101804-2,0,0,0,0,0
101902-1,46,34,43,49,42
101903-1,0,0,25,35,68
101903-2,65,60,71,0,0
101903-3,0,0,0,68,52
101904-1,0,0,0,0,0
102001-1,0,0,0,0,0
102001-2,58,0,0,0,0
102002-1,0,0,0,0,0
102002-2,0,0,0,0,0
102002-3,45,53,0,0,0
102003-1,62,50,64,87,40
102004-1,22,27,29,62,74
102005-1,0,0,0,0,0
102005-2,0,0,0,0,0
102005-3,0,0,0,0,0
102005-4,81,222,122,11,7
102006-1,14,0,0,0,0
980100-1,5,6,6,5,0
