id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,57,49,56,53,48
100200-1,73,79,62,35,34
100200-2,72,75,98,47,46
100300-1,46,57,43,31,15
100300-2,174,159,196,118,70
100300-3,161,188,96,134,137
100400-1,69,97,95,95,80
100400-2,46,5,7,8,14
100500-1,141,114,112,104,124
100500-2,49,30,25,24,47
100500-3,172,303,389,314,330
100601-1,203,178,178,191,198
100602-1,45,42,42,58,93
100602-2,233,241,269,225,225
100700-1,90,83,101,100,83
100700-2,131,37,40,42,56
100800-1,65,77,94,80,114
100800-2,0,9,12,15,25
100900-1,46,32,25,55,45
100900-2,28,53,52,64,62
101001-1,66,66,45,23,76
101001-2,141,151,106,118,171
101002-1,101,70,77,94,195
101002-2,60,63,97,143,182
101101-1,77,83,114,126,99
101102-1,82,106,95,102,120
101102-2,148,177,160,180,152
101102-3,97,69,72,110,129
101102-4,127,160,151,137,87
101103-1,189,165,149,132,134
101201-1,64,88,124,89,101
101202-1,159,104,120,127,108
101202-2,178,185,158,152,115
101303-1,58,70,112,103,134
101303-2,34,34,99,153,170
101303-3,331,496,560,611,566
101304-1,143,173,155,97,91
101304-2,218,174,172,77,133
101304-3,82,85,49,47,51
101305-1,215,223,357,336,399
101306-1,34,53,91,67,70
101306-2,129,144,126,149,126
101306-3,122,89,123,90,95
101307-1,101,73,90,102,133
101400-1,0,0,0,0,0
101400-2,33,35,10,10,9
101400-3,178,125,130,113,92
101500-1,50,33,62,30,79
101500-2,218,261,250,242,237
101500-3,85,114,106,169,167
101500-4,117,138,130,175,142
101600-1,129,125,168,214,172
101600-2,93,67,29,69,139
101600-3,135,119,181,126,147
101700-1,64,42,52,45,55
101700-2,77,216,274,316,288
101700-3,96,67,26,9,22
101700-4,94,67,98,112,149
101700-5,98,94,86,40,39
101802-1,366,441,463,531,490
101802-2,148,190,247,378,446
101802-3,179,165,147,140,65
101802-4,177,128,179,216,193
101803-1,615,600,707,654,590
101803-2,150,127,110,193,164
101804-1,403,461,379,420,417
101804-2,563,489,430,360,400
101902-1,250,215,229,232,220
101903-1,289,363,330,468,614
101903-2,144,146,271,405,444
101903-3,206,124,161,46,30
101904-1,258,269,261,350,398
102001-1,250,251,290,233,225
102001-2,163,173,251,205,184
102002-1,180,132,177,154,121
102002-2,125,248,185,247,196
102002-3,249,331,428,371,478
102003-1,333,235,279,337,458
102004-1,250,234,308,299,400
102005-1,181,152,130,113,153
102005-2,22,19,13,20,0
102005-3,47,55,57,58,69
102005-4,98,72,47,58,76
102006-1,649,779,522,606,754
980100-1,0,0,0,0,0
