id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,180,181,233,266,222
100200-1,92,80,96,112,90
100200-2,119,175,203,232,255
100300-1,268,282,228,298,356
100300-2,294,268,264,330,312
100300-3,173,103,197,380,380
100400-1,470,416,479,403,362
100400-2,265,324,188,214,244
100500-1,192,136,104,141,209
100500-2,461,340,445,380,221
100500-3,432,624,513,473,447
100601-1,341,359,423,498,408
100602-1,212,252,229,267,200
100602-2,290,442,438,416,327
100700-1,49,55,26,23,33
100700-2,111,181,152,184,190
100800-1,183,145,148,159,160
100800-2,178,181,200,152,124
100900-1,322,316,302,284,305
100900-2,132,159,312,287,384
101001-1,189,233,210,219,180
101001-2,547,526,515,501,519
101002-1,197,218,295,122,132
101002-2,286,293,314,331,235
101101-1,409,341,300,353,343
101102-1,290,250,330,351,239
101102-2,232,335,236,307,334
101102-3,449,486,512,479,440
101102-4,581,281,321,294,316
101103-1,532,594,478,542,578
101201-1,341,346,319,310,291
101202-1,214,262,200,269,320
101202-2,435,430,391,465,436
101303-1,392,344,267,231,75
101303-2,220,211,212,192,235
101303-3,740,880,881,767,603
101304-1,251,283,302,350,373
101304-2,99,103,185,179,94
101304-3,398,323,248,197,188
101305-1,452,368,441,394,403
101306-1,196,196,162,131,160
101306-2,275,283,335,345,221
101306-3,211,179,221,249,184
101307-1,375,406,370,397,332
101400-1,97,40,118,98,95
101400-2,113,121,74,44,78
101400-3,369,373,392,388,323
101500-1,309,216,216,214,232
101500-2,590,603,645,599,548
101500-3,320,357,359,385,347
101500-4,182,229,236,239,230
101600-1,627,558,631,583,549
101600-2,172,274,231,278,349
101600-3,430,502,462,539,537
101700-1,458,321,393,411,384
101700-2,687,558,571,600,544
101700-3,226,130,160,296,289
101700-4,414,564,545,443,446
101700-5,433,500,397,250,272
101802-1,787,714,710,617,575
101802-2,273,294,188,225,233
101802-3,288,257,227,224,189
101802-4,795,800,946,931,901
101803-1,733,623,423,510,552
101803-2,111,129,162,150,113
101804-1,591,561,595,731,646
101804-2,258,230,410,428,305
101902-1,489,426,370,402,372
101903-1,536,594,517,698,772
101903-2,557,516,547,525,529
101903-3,194,280,270,211,190
101904-1,453,502,517,460,443
102001-1,495,523,396,344,329
102001-2,256,299,400,689,686
102002-1,273,284,351,343,290
102002-2,130,101,88,104,132
102002-3,559,361,368,404,317
102003-1,464,504,667,752,1096
102004-1,427,421,588,638,704
102005-1,316,435,365,339,441
102005-2,0,0,0,0,0
102005-3,61,22,142,182,249
102005-4,0,142,149,154,188
102006-1,387,398,695,780,894
980100-1,5,12,12,13,5
