id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,42,44,32,36,20
100200-1,0,5,5,8,10
100200-2,5,3,2,0,5
100300-1,0,0,0,0,0
100300-2,0,9,16,50,63
100300-3,0,0,0,0,0
100400-1,36,39,43,14,0
100400-2,0,0,0,0,0
100500-1,0,0,0,0,0
100500-2,0,0,0,0,0
100500-3,0,0,0,0,0
100601-1,35,26,40,32,25
100602-1,38,47,58,80,0
100602-2,22,34,23,23,20
100700-1,0,0,0,0,0
100700-2,0,0,0,25,34
100800-1,85,49,44,46,20
100800-2,9,9,8,0,4
100900-1,64,83,56,54,73
100900-2,0,0,0,38,64
101001-1,20,20,22,19,0
101001-2,78,74,76,5,14
101002-1,107,120,56,45,20
101002-2,14,15,0,0,0
101101-1,40,35,26,13,0
101102-1,0,0,0,0,0
101102-2,0,0,23,47,46
101102-3,0,0,0,0,0
101102-4,0,19,26,75,45
101103-1,0,0,0,0,0
101201-1,9,5,8,9,9
101202-1,0,0,0,0,10
101202-2,13,0,0,0,0
101303-1,26,0,0,0,35
101303-2,0,0,0,0,0
101303-3,16,39,81,100,41
101304-1,69,66,23,28,28
101304-2,21,22,60,40,32
101304-3,99,118,118,68,72
101305-1,0,0,0,0,0
101306-1,0,0,0,0,10
101306-2,0,0,0,20,21
101306-3,40,12,44,54,33
101307-1,0,0,10,10,8
101400-1,55,14,39,34,30
101400-2,0,0,9,9,30
101400-3,0,0,0,29,44
101500-1,0,0,0,0,49
101500-2,11,0,0,0,0
101500-3,0,0,0,0,0
101500-4,0,0,0,0,7
101600-1,0,0,0,0,0
101600-2,19,21,0,0,0
101600-3,0,0,0,0,0
101700-1,0,8,8,8,7
101700-2,14,12,0,0,0
101700-3,0,0,0,0,0
101700-4,0,0,0,0,0
101700-5,10,11,0,39,32
101802-1,0,0,13,14,15
101802-2,0,0,54,47,67
101802-3,0,0,16,14,14
101802-4,28,15,0,0,25
101803-1,0,4,22,10,98
101803-2,0,0,0,0,0
101804-1,25,27,23,24,22
101804-2,46,88,84,103,67
101902-1,39,22,13,16,14
101903-1,69,68,84,91,121
101903-2,33,38,56,48,27
101903-3,59,64,0,0,0
101904-1,29,18,36,39,40
102001-1,0,0,0,0,0
102001-2,73,43,31,79,79
102002-1,0,0,0,15,21
102002-2,0,17,29,148,126
102002-3,0,0,0,0,28
102003-1,17,0,0,31,102
102004-1,84,56,92,83,48
102005-1,0,0,65,60,99
102005-2,0,0,0,0,0
102005-3,0,0,0,0,0
102005-4,0,0,0,0,0
102006-1,101,82,89,96,93
980100-1,0,0,6,6,5
