id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,750,803,773,745,699
100200-1,385,375,338,366,334
100200-2,519,484,575,502,411
100300-1,681,728,754,660,752
100300-2,1091,973,887,1025,962
100300-3,1016,1076,1039,1043,812
100400-1,927,986,1257,1132,1123
100400-2,625,714,591,730,658
100500-1,530,482,491,595,618
100500-2,503,484,553,522,360
100500-3,1010,1626,1441,1436,1552
100601-1,1105,1024,1059,1154,1050
100602-1,493,392,383,433,330
100602-2,870,838,910,860,857
100700-1,197,225,163,199,190
100700-2,275,364,343,435,489
100800-1,1143,1070,1062,927,822
100800-2,302,353,406,340,337
100900-1,694,722,483,566,649
100900-2,497,478,538,611,799
101001-1,468,433,374,443,642
101001-2,1820,1744,1698,1558,1375
101002-1,1016,955,939,824,820
101002-2,703,749,836,872,780
101101-1,1156,1139,1318,1418,1553
101102-1,547,502,692,701,608
101102-2,1193,1229,1106,1188,1006
101102-3,1193,1247,1119,992,1128
101102-4,1182,1040,985,1025,791
101103-1,1310,1256,1344,1440,1369
101201-1,916,975,1003,922,929
101202-1,632,626,562,774,804
101202-2,1039,941,1128,1260,1251
101303-1,683,718,884,884,920
101303-2,886,781,946,1168,1221
101303-3,2729,3498,3517,3198,3448
101304-1,1290,1496,1462,1332,1368
101304-2,914,805,848,678,714
101304-3,735,742,877,754,585
101305-1,1867,1991,1810,2262,2411
101306-1,491,523,612,522,648
101306-2,1199,1181,1321,1391,1299
101306-3,706,723,976,908,794
101307-1,1116,1151,1222,1195,1204
101400-1,888,826,892,907,914
101400-2,719,606,594,510,522
101400-3,1661,1987,2174,2292,2287
101500-1,526,489,526,441,467
101500-2,1647,1581,1487,1379,1332
101500-3,609,691,670,932,811
101500-4,953,939,756,962,1049
101600-1,1370,1354,1360,1385,1677
101600-2,356,440,421,544,637
101600-3,825,853,919,861,731
101700-1,736,670,637,564,602
101700-2,979,955,1092,1230,1209
101700-3,658,451,479,561,545
101700-4,876,925,814,742,734
101700-5,620,938,1042,919,948
101802-1,2021,2127,2121,1960,1990
101802-2,709,549,629,856,1090
101802-3,608,678,663,649,750
101802-4,1696,1404,1515,1548,1450
101803-1,2949,3013,2803,2397,2549
101803-2,555,566,518,730,726
101804-1,1517,1452,1275,1630,1844
101804-2,1705,1813,1903,1862,1704
101902-1,1334,1337,1376,1295,1234
101903-1,2118,2029,1848,2069,2328
101903-2,1405,1444,1652,1753,1581
101903-3,801,642,663,450,407
101904-1,1346,1340,1624,1840,1953
102001-1,1415,1499,1312,1127,1020
102001-2,890,998,1145,1526,1587
102002-1,801,912,934,978,770
102002-2,623,630,735,1160,1213
102002-3,2153,1996,2222,2275,2481
102003-1,2731,3001,3228,3322,3407
102004-1,2350,2501,2531,2777,2902
102005-1,1453,1613,1551,1383,1605
102005-2,85,93,75,172,140
102005-3,290,275,412,474,523
102005-4,573,858,678,498,598
102006-1,2740,3010,3523,3748,4163
980100-1,139,198,253,250,244
