id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,15,0,0,0,0
100200-1,0,4,5,7,14
100200-2,3,18,26,29,30
100300-1,0,0,15,13,12
100300-2,5,0,0,0,0
100300-3,0,0,12,0,0
100400-1,0,8,10,11,11
100400-2,0,0,0,0,0
100500-1,36,17,25,9,29
100500-2,0,0,0,0,0
100500-3,0,0,0,0,0
100601-1,39,41,49,46,46
100602-1,0,0,0,0,0
100602-2,23,27,30,23,24
100700-1,8,0,0,6,4
100700-2,0,0,0,0,0
100800-1,17,38,23,3,4
100800-2,10,3,0,0,0
100900-1,0,0,0,0,0
100900-2,0,0,0,0,0
101001-1,0,0,0,0,8
101001-2,23,25,23,21,24
101002-1,0,0,4,7,9
101002-2,0,0,0,0,0
101101-1,0,0,0,0,0
101102-1,0,0,0,0,0
101102-2,0,0,0,0,0
101102-3,0,16,12,13,17
101102-4,0,0,0,13,15
101103-1,0,6,20,20,19
101201-1,0,0,0,0,0
101202-1,0,0,0,0,0
101202-2,0,13,0,0,0
101303-1,0,0,0,0,0
101303-2,0,0,0,0,0
101303-3,16,12,12,12,18
101304-1,0,0,0,0,0
101304-2,0,0,0,0,0
101304-3,13,10,8,10,0
101305-1,16,7,6,5,2
101306-1,0,0,0,0,0
101306-2,0,0,0,0,0
101306-3,13,0,15,0,0
101307-1,0,0,0,0,0
101400-1,0,0,0,0,0
101400-2,16,16,0,0,0
101400-3,0,0,40,40,39
101500-1,0,0,0,0,0
101500-2,0,0,0,0,0
101500-3,0,0,0,0,0
101500-4,0,15,11,11,13
101600-1,0,0,0,0,48
101600-2,49,37,47,50,33
101600-3,12,0,0,0,0
101700-1,4,4,4,6,31
101700-2,0,0,0,0,0
101700-3,0,0,0,0,0
101700-4,0,0,0,0,0
101700-5,9,14,15,0,0
101802-1,31,15,11,13,17
101802-2,21,22,13,14,72
101802-3,0,0,0,0,0
101802-4,17,24,32,30,28
101803-1,38,69,61,70,60
101803-2,0,0,0,0,17
101804-1,130,166,107,79,16
101804-2,39,65,44,20,24
101902-1,37,25,30,37,40
101903-1,65,57,84,98,37
101903-2,0,0,49,36,29
101903-3,40,19,28,29,0
101904-1,3,7,8,15,12
102001-1,22,8,62,64,53
102001-2,0,0,0,0,0
102002-1,0,0,18,15,14
102002-2,0,0,0,0,0
102002-3,0,0,0,0,16
102003-1,30,25,24,21,10
102004-1,9,0,0,0,0
102005-1,6,10,10,6,0
102005-2,0,0,0,0,0
102005-3,0,0,0,0,0
102005-4,0,0,0,0,0
102006-1,12,0,3,6,28
980100-1,0,0,0,0,0
