id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,597,627,588,466,519
100200-1,157,163,176,155,164
100200-2,261,270,269,310,299
100300-1,281,358,506,399,394
100300-2,549,425,372,282,253
100300-3,110,143,161,190,299
100400-1,446,502,538,546,491
100400-2,342,281,250,211,254
100500-1,251,236,197,215,238
100500-2,428,349,515,488,395
100500-3,613,649,778,890,883
100601-1,435,367,444,405,427
100602-1,285,340,356,442,472
100602-2,367,433,439,337,375
100700-1,181,217,149,109,125
100700-2,119,160,148,184,213
100800-1,607,456,416,329,276
100800-2,166,199,208,189,165
100900-1,508,483,319,424,469
100900-2,221,170,189,180,248
101001-1,137,123,162,187,291
101001-2,466,435,427,283,289
101002-1,264,338,283,233,217
101002-2,161,248,333,395,376
101101-1,419,443,478,473,430
101102-1,199,184,243,240,196
101102-2,272,242,280,209,150
101102-3,280,416,366,387,549
101102-4,353,440,452,565,360
101103-1,219,222,243,263,245
101201-1,194,236,222,324,352
101202-1,228,187,171,177,166
101202-2,252,179,199,257,304
101303-1,340,223,234,262,196
101303-2,257,148,139,98,23
101303-3,332,242,422,714,684
101304-1,175,426,335,277,425
101304-2,59,60,82,61,61
101304-3,249,290,321,381,425
101305-1,90,146,179,210,312
101306-1,31,59,57,100,93
101306-2,262,220,265,148,148
101306-3,310,297,168,192,135
101307-1,318,367,382,359,388
101400-1,0,0,0,0,0
101400-2,53,53,50,54,95
101400-3,58,50,51,103,82
101500-1,105,67,51,23,97
101500-2,320,234,155,185,224
101500-3,316,295,156,222,144
101500-4,103,88,70,61,159
101600-1,281,250,283,252,292
101600-2,149,246,160,182,146
101600-3,206,159,125,142,198
101700-1,207,219,171,175,105
101700-2,270,275,109,116,131
101700-3,26,12,0,13,29
101700-4,202,220,189,218,210
101700-5,147,115,134,351,294
101802-1,410,346,356,415,331
101802-2,181,168,173,259,276
101802-3,230,175,220,189,184
101802-4,538,471,426,555,555
101803-1,613,608,775,702,799
101803-2,97,122,128,102,109
101804-1,266,298,373,398,445
101804-2,451,407,399,497,172
101902-1,232,259,280,365,348
101903-1,753,686,674,705,803
101903-2,380,222,264,284,252
101903-3,142,204,91,100,116
101904-1,158,160,123,168,185
102001-1,431,345,740,597,507
102001-2,373,366,373,486,441
102002-1,101,90,77,90,38
102002-2,84,17,44,309,258
102002-3,304,383,371,472,567
102003-1,470,572,672,582,762
102004-1,632,791,847,838,1071
102005-1,631,584,725,665,677
102005-2,39,52,48,38,32
102005-3,148,106,177,232,300
102005-4,95,161,191,123,87
102006-1,393,414,494,405,463
980100-1,0,0,0,0,0
